sentido,anio,codigo_ipress,mes,motivo
A_sin_D,2016,00001741,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001765,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001795,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001813,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001814,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001815,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001816,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001817,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001818,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001819,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001820,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001821,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001822,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001823,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001824,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001825,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001826,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001827,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001828,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001829,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001830,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001831,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001832,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001833,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001834,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001835,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001836,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001837,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001838,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001839,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001840,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001841,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001842,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001843,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001844,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001846,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001847,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001848,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001849,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001850,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001851,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001852,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001853,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001854,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001855,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001856,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001857,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001858,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001859,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001860,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001861,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001862,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001863,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001864,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001865,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001866,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001882,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001896,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001900,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001908,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001910,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002021,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002084,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002161,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002289,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002305,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002378,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002398,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002421,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002469,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002698,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002818,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002864,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002965,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00002974,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003251,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003358,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003359,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003414,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003419,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003443,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003458,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003472,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003494,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003523,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003543,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003575,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003655,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003727,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003754,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003770,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003792,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003853,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003854,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003917,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003943,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00003976,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004002,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004074,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004131,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004140,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004167,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004210,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004223,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004267,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004317,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004318,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004325,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004329,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004331,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004332,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004333,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004373,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004420,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004440,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004466,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004511,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004659,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004782,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004838,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004876,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004922,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004932,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004950,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00004981,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005044,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005125,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005145,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005162,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005195,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005196,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005197,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005204,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005209,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005217,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005226,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005231,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005243,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005251,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005277,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005289,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005292,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005293,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005294,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005295,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005296,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005297,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005298,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005332,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005375,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005576,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005577,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00005986,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006218,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006219,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006220,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006221,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006222,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006223,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006224,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006225,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006226,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006227,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006228,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006229,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006230,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006231,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00006233,,Código sin D ese año (A nacional vs D filtrado)
