codigo_ipress,anio,mes,servicios_d,servicios_con_camas_validas,suma_total_camas_d,max_total_camas_d,CA_CAMAS,estado_calidad_a,diferencia_suma_total_camas_d,diferencia_pct_suma_total_camas_d,diferencia_max_total_camas_d,diferencia_pct_max_total_camas_d
00005791,2025,3,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2025,4,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2025,5,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2025,6,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2025,9,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2025,10,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2025,11,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2026,1,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2026,2,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2026,3,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005799,2025,2,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2025,3,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2025,4,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2025,6,1,1,15.0,15.0,7.0,UNICA,8.0,114.28571428571428,8.0,114.28571428571428
00005799,2025,7,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2025,8,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2025,9,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2025,10,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2025,11,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2026,1,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005799,2026,2,1,1,15.0,15.0,3.0,UNICA,12.0,400.0,12.0,400.0
00005814,2025,1,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,2,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,3,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,4,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
00005814,2025,5,1,1,8.0,8.0,5.0,UNICA,3.0,60.0,3.0,60.0
