codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00001885,2021,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,385,CA_CAMAS,0.0,10.0,10.0
00001885,2021,3,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,7542,CA_CAMAS,10.0,0.0,-10.0
00001896,2016,9,data\raw\Capacidad\ConsultaA_Recurso_Salud_2016_v1.csv,4196,CA_CAMAS,8.0,20.0,12.0
00001896,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,37235,CA_CAMAS,10.0,22.0,12.0
00002021,2022,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,13864,CA_CAMAS,12.0,122.0,110.0
00002021,2023,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,27809,CA_CAMAS,12.0,54.0,42.0
00002021,2025,6,data\raw\Capacidad\ConsultaA_2025_v22.csv,31328,CA_CAMAS,12.0,61.0,49.0
00002112,2025,11,data\raw\Capacidad\ConsultaA_2025_v22.csv,56058,CA_CAMAS,17.0,122.0,105.0
00002300,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,33873,CA_CAMAS,15.0,0.0,-15.0
00002300,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,16556,CA_CAMAS,0.0,15.0,15.0
00002317,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,34553,CA_CAMAS,10.0,0.0,-10.0
00002348,2026,6,data\raw\Capacidad\ConsultaA_2026_v13.csv,34770,CA_CAMAS,11.0,0.0,-11.0
00002348,2026,7,data\raw\Capacidad\ConsultaA_2026_v13.csv,7680,CA_CAMAS,0.0,11.0,11.0
00002355,2026,3,data\raw\Capacidad\ConsultaA_2026_v13.csv,652,CA_CAMAS,0.0,10.0,10.0
00002364,2019,8,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,20673,CA_CAMAS,21.0,0.0,-21.0
00002364,2019,10,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,28090,CA_CAMAS,0.0,21.0,21.0
00002364,2021,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,2487,CA_CAMAS,21.0,0.0,-21.0
00002386,2019,5,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,28024,CA_CAMAS,12.0,0.0,-12.0
00002386,2019,10,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,25282,CA_CAMAS,12.0,0.0,-12.0
00002386,2019,11,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,29011,CA_CAMAS,0.0,12.0,12.0
00002386,2026,5,data\raw\Capacidad\ConsultaA_2026_v13.csv,26923,CA_CAMAS,0.0,12.0,12.0
00002510,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,34578,CA_CAMAS,10.0,0.0,-10.0
00002510,2025,4,data\raw\Capacidad\ConsultaA_2025_v22.csv,19119,CA_CAMAS,0.0,15.0,15.0
00002520,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,32234,CA_CAMAS,14.0,0.0,-14.0
00002520,2025,4,data\raw\Capacidad\ConsultaA_2025_v22.csv,19126,CA_CAMAS,0.0,12.0,12.0
00002523,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,28924,CA_CAMAS,16.0,0.0,-16.0
