codigo_ipress,anio,mes,servicio_hospitalizacion,total_camas,CA_CAMAS,diferencia,diferencia_absoluta,diferencia_porcentual,estado_match,_archivo,_registro
00006216,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA QUEMADOS,24,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,23,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,36,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,7,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,28,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,82,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA CARDIOLOGÍA PEDIÁTRICA,24,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA DERMATOLOGÍA PEDIÁTRICA,10,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GASTROENTEROLOGÍA PEDIÁTRICA,10,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GINECOLOGÍA PEDIÁTRICA,17,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEFROLOGÍA PEDIÁTRICA,6,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,10,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUMOLOGÍA PEDIÁTRICA,23,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,15,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA OFTALMOLOGÍA PEDIÁTRICA,1,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA OTORRINOLARINGOLOGÍA PEDIÁTRICA,7,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN DE MEDICINA HEMATOLOGÍA,4,,,,,sin_match,,
00006216,2015,2,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) PEDIÁTRICA,10,,,,,sin_match,,
00007734,2015,2,HOSPITALIZACIÓN,36,36.0,0.0,0.0,0.0,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,186.0
00006214,2015,2,HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA,590,,,,,sin_match,,
00005987,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,90,329.0,-239.0,239.0,-72.64437689969606,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,87.0
00005987,2015,2,HOSPITALIZACIÓN QUIRÚRGICA GINECO - OBSTETRICIA,94,329.0,-235.0,235.0,-71.42857142857143,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,87.0
00005987,2015,2,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,70,329.0,-259.0,259.0,-78.72340425531915,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,87.0
00005987,2015,2,HOSPITALIZACIÓN DE MEDICINA ONCOLOGÍA MÉDICA,14,329.0,-315.0,315.0,-95.74468085106383,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,87.0
00005987,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,44,329.0,-285.0,285.0,-86.62613981762918,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,87.0
00005987,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,70,329.0,-259.0,259.0,-78.72340425531915,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,87.0
00005948,2015,2,HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA,210,230.0,-20.0,20.0,-8.695652173913043,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,85.0
00005948,2015,2,HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA REHABILITACIÓN PSIQUIÁTRICA / REINSERCIÓN,20,230.0,-210.0,210.0,-91.30434782608695,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,85.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,120,800.0,-680.0,680.0,-85.0,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,15,800.0,-785.0,785.0,-98.125,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,23,800.0,-777.0,777.0,-97.125,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,15,800.0,-785.0,785.0,-98.125,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,30,800.0,-770.0,770.0,-96.25,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,32,800.0,-768.0,768.0,-96.0,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,53,800.0,-747.0,747.0,-93.375,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA,79,800.0,-721.0,721.0,-90.125,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA GINECOLOGIA ONCOLOGICA,8,800.0,-792.0,792.0,-99.0,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,6,800.0,-794.0,794.0,-99.25,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,253,800.0,-547.0,547.0,-68.375,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,38,800.0,-762.0,762.0,-95.25,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,76,800.0,-724.0,724.0,-90.5,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI),10,800.0,-790.0,790.0,-98.75,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006207,2015,3,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS GENERAL (UCIN),10,800.0,-790.0,790.0,-98.75,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,118.0
00006209,2015,3,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,40,188.0,-148.0,148.0,-78.72340425531915,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,134.0
00006209,2015,3,HOSPITALIZACIÓN QUIRÚRGICA OTORRINOLARINGOLOGÍA,1,188.0,-187.0,187.0,-99.46808510638297,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,134.0
00006209,2015,3,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,20,188.0,-168.0,168.0,-89.36170212765957,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,134.0
00006209,2015,3,HOSPITALIZACIÓN-HOSPITALIZACIÓN DE MEDICINA-GERIATRIA,20,188.0,-168.0,168.0,-89.36170212765957,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,134.0
