codigo_ipress,anio,mes,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,departamento,provincia,distrito,sector,categoria,nombre_ipress,_codigo_original,_anio_original,_mes_original,_clave_valida,_archivo,_registro,_huella_fila,original_ANHO,original_MES,original_UBIGEO,original_DEPARTAMENTO,original_PROVINCIA,original_DISTRITO,original_SECTOR,original_CATEGORIA,original_CO_IPRESS,original_RAZON_SOC,original_CA_CONSULTORIOS,original_CA_CONSULTORIOS_FN,original_CA_CAMAS,original_CA_MEDICOS_TOTAL,original_CA_MEDICOS_SERUM,original_CA_MEDICOS_RESIDENTES,original_CA_ENFERMERAS,original_CA_ODONTOLOGOS,original_CA_PSICOLOGOS,original_CA_NUTRICIONISTAS,original_CA_TECNOLOGOS_MEDICOS,original_CA_OBSTETRICES,original_CA_FARMACEUTICOS,original_CA_AUXILIARES,original_CA_OTROS_PROF,original_CA_AMBULANCIAS,filas_originales,versiones_distintas,estado_calidad_a,cantidad_eliminada
00004484,2020,3,0,1,0,1,CAJAMARCA,CELENDIN,OXAMARCA,GOBIERNO REGIONAL,I-2,OXAMARCA,00004484,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11369,16348942961840087100,2020,03,060308,CAJAMARCA,CELENDIN,OXAMARCA,GOBIERNO REGIONAL,I-2,00004484,OXAMARCA,3,3,0,1,0,0,1,0,0,0,0,1,0,2,0,1,3,2,AMBIGUA,0
00004488,2020,3,0,1,0,1,CAJAMARCA,CELENDIN,JOSE GALVEZ,GOBIERNO REGIONAL,I-2,JOSE GALVEZ,00004488,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11374,1133725481479998993,2020,03,060306,CAJAMARCA,CELENDIN,JOSE GALVEZ,GOBIERNO REGIONAL,I-2,00004488,JOSE GALVEZ,4,4,0,1,0,0,1,1,0,0,0,2,0,3,0,1,3,2,AMBIGUA,0
00003384,2020,2,0,2,0,2,ICA,ICA,SALAS,GOBIERNO REGIONAL,I-2,PAMPA DE VILLACURI,00003384,2020,02,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11531,8186109614779822376,2020,02,110108,ICA,ICA,SALAS,GOBIERNO REGIONAL,I-2,00003384,PAMPA DE VILLACURI,5,5,0,2,1,0,2,2,0,0,0,1,0,1,0,0,2,2,AMBIGUA,0
00002379,2020,3,NE_0002,NE_0002,NE_0002,NE_0002,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,HERCCA,00002379,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11575,10027063675827421322,2020,03,080601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,00002379,HERCCA,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,5,2,AMBIGUA,0
00002379,2020,3,NE_0002,NE_0002,NE_0002,NE_0002,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,HERCCA,00002379,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11584,10027063675827421322,2020,03,080601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,00002379,HERCCA,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,5,2,AMBIGUA,0
00006240,2020,1,1,1,1,1,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,P.S. PREVI,00006240,2020,01,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11741,3352391427335917503,2020,01,070101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,00006240,P.S. PREVI,1,1,1,1,1,1,1,2,2,2,2,2,3,1,4,45,2,2,AMBIGUA,0
00006240,2020,1,0,3,0,3,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,P.S. PREVI,00006240,2020,01,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11742,13540557622177119514,2020,01,070101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,00006240,P.S. PREVI,12,12,0,3,1,0,3,2,1,0,0,3,0,6,1,0,2,2,AMBIGUA,0
00004296,2020,1,0,2,0,2,CAJAMARCA,SAN IGNACIO,NAMBALLE,GOBIERNO REGIONAL,I-3,NAMBALLE,00004296,2020,01,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12139,17039097894180067544,2020,01,060905,CAJAMARCA,SAN IGNACIO,NAMBALLE,GOBIERNO REGIONAL,I-3,00004296,NAMBALLE,7,0,0,2,0,0,2,0,0,0,0,3,0,6,1,2,7,2,AMBIGUA,0
00001435,2020,3,0,1,0,2,AREQUIPA,CAYLLOMA,SIBAYO,GOBIERNO REGIONAL,I-2,PUESTO DE SALUD SANTA ROSA DE SIBAYO,00001435,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12286,2404281025753176590,2020,03,040515,AREQUIPA,CAYLLOMA,SIBAYO,GOBIERNO REGIONAL,I-2,00001435,PUESTO DE SALUD SANTA ROSA DE SIBAYO,9,8,0,1,1,0,2,0,0,0,0,1,0,0,2,0,3,2,AMBIGUA,0
00001436,2020,3,0,2,0,1,AREQUIPA,CAYLLOMA,TUTI,GOBIERNO REGIONAL,I-2,PUESTO DE SALUD TUTI,00001436,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12287,6819130265739407318,2020,03,040518,AREQUIPA,CAYLLOMA,TUTI,GOBIERNO REGIONAL,I-2,00001436,PUESTO DE SALUD TUTI,8,4,0,2,1,0,1,0,0,0,0,1,0,0,1,0,3,2,AMBIGUA,0
00001438,2020,3,0,1,0,2,AREQUIPA,CAYLLOMA,TISCO,GOBIERNO REGIONAL,I-2,PUESTO DE SALUD TISCO,00001438,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,12288,9074129453232033276,2020,03,040517,AREQUIPA,CAYLLOMA,TISCO,GOBIERNO REGIONAL,I-2,00001438,PUESTO DE SALUD TISCO,10,5,0,1,1,0,2,0,0,0,0,1,0,0,1,0,3,2,AMBIGUA,0
