codigo_ipress,anio,mes,departamento,provincia,distrito,sector,categoria,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,_archivo,_registro
00027565,2024,7,LIMA,LIMA,COMAS,ESSALUD,II-1,108,215,12,193,data\raw\Capacidad\ConsultaA_2024_v22.csv,8726
00005617,2024,7,LIMA,LIMA,SAN JUAN DE LURIGANCHO,MINSA,II-2,82,223,23,310,data\raw\Capacidad\ConsultaA_2024_v22.csv,8734
00008317,2024,7,LIMA,LIMA,SAN JUAN DE LURIGANCHO,ESSALUD,II-1,43,217,11,105,data\raw\Capacidad\ConsultaA_2024_v22.csv,8738
00008318,2024,8,LIMA,LIMA,SANTA ANITA,ESSALUD,II-1,40,90,4,86,data\raw\Capacidad\ConsultaA_2024_v22.csv,8787
00007634,2024,7,LIMA,LIMA,COMAS,MINSA,III-1,289,251,77,272,data\raw\Capacidad\ConsultaA_2024_v22.csv,8941
00005883,2024,8,LIMA,LIMA,ATE,MINSA,II-1,50,93,0,99,data\raw\Capacidad\ConsultaA_2024_v22.csv,9022
00008564,2024,6,LIMA,LIMA,SAN MIGUEL,ESSALUD,II-1,48,94,0,81,data\raw\Capacidad\ConsultaA_2024_v22.csv,9095
00007633,2024,6,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-1,381,433,297,615,data\raw\Capacidad\ConsultaA_2024_v22.csv,9096
00014718,2024,7,LIMA,LIMA,SAN MIGUEL,SANIDAD DE LA POLICIA NACIONAL DEL PERU,II-E,26,24,0,37,data\raw\Capacidad\ConsultaA_2024_v22.csv,9202
00008564,2024,7,LIMA,LIMA,SAN MIGUEL,ESSALUD,II-1,47,100,0,87,data\raw\Capacidad\ConsultaA_2024_v22.csv,9274
00006206,2024,8,LIMA,LIMA,LIMA,MINSA,III-1,469,456,211,210,data\raw\Capacidad\ConsultaA_2024_v22.csv,9363
00033381,2024,7,LIMA,LIMA,ATE,MINSA,III-E,252,306,54,436,data\raw\Capacidad\ConsultaA_2024_v22.csv,9458
00006207,2024,7,LIMA,LIMA,LIMA,MINSA,III-1,608,723,298,494,data\raw\Capacidad\ConsultaA_2024_v22.csv,9668
00007634,2024,8,LIMA,LIMA,COMAS,MINSA,III-1,289,249,77,272,data\raw\Capacidad\ConsultaA_2024_v22.csv,9828
00007633,2024,8,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-1,377,437,297,660,data\raw\Capacidad\ConsultaA_2024_v22.csv,9848
00027565,2024,6,LIMA,LIMA,COMAS,ESSALUD,II-1,122,204,12,196,data\raw\Capacidad\ConsultaA_2024_v22.csv,9914
00010434,2024,6,LIMA,LIMA,SANTA ANITA,ESSALUD,II-E,187,53,9,119,data\raw\Capacidad\ConsultaA_2024_v22.csv,9930
00006216,2024,7,LIMA,LIMA,BREÑA,MINSA,III-2,391,355,16,624,data\raw\Capacidad\ConsultaA_2024_v22.csv,9949
00005617,2024,8,LIMA,LIMA,SAN JUAN DE LURIGANCHO,MINSA,II-2,82,222,23,311,data\raw\Capacidad\ConsultaA_2024_v22.csv,9966
00006214,2024,7,LIMA,LIMA,MAGDALENA DEL MAR,MINSA,III-E,590,90,27,121,data\raw\Capacidad\ConsultaA_2024_v22.csv,10057
