codigo_ipress,anio,mes,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,departamento,provincia,distrito,sector,categoria,nombre_ipress,_codigo_original,_anio_original,_mes_original,_clave_valida,_archivo,_registro,_huella_fila,original_ANHO,original_MES,original_UBIGEO,original_DEPARTAMENTO,original_PROVINCIA,original_DISTRITO,original_SECTOR,original_CATEGORIA,original_CO_IPRESS,original_RAZON_SOC,original_CA_CONSULTORIOS,original_CA_CONSULTORIOS_FN,original_CA_CAMAS,original_CA_MEDICOS_TOTAL,original_CA_MEDICOS_SERUM,original_CA_MEDICOS_RESIDENTES,original_CA_ENFERMERAS,original_CA_ODONTOLOGOS,original_CA_PSICOLOGOS,original_CA_NUTRICIONISTAS,original_CA_TECNOLOGOS_MEDICOS,original_CA_OBSTETRICES,original_CA_FARMACEUTICOS,original_CA_AUXILIARES,original_CA_OTROS_PROF,original_CA_AMBULANCIAS,filas_clave
00003915,2024,8,0,0,0,1,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,GOBIERNO REGIONAL,I-1,TELAPACCHA,00003915,2024,08,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8539,18238018896661030464,2024,08,090102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,GOBIERNO REGIONAL,I-1,00003915,TELAPACCHA,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
00003856,2024,8,0,0,0,1,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,GOBIERNO REGIONAL,I-1,SACSAMARCA,00003856,2024,08,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8541,52182229613173912,2024,08,090101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,GOBIERNO REGIONAL,I-1,00003856,SACSAMARCA,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
00003915,2024,8,0,0,0,1,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,GOBIERNO REGIONAL,I-1,TELAPACCHA,00003915,2024,08,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8543,18238018896661030464,2024,08,090102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,GOBIERNO REGIONAL,I-1,00003915,TELAPACCHA,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
00004544,2024,7,0,1,0,1,CAJAMARCA,CONTUMAZA,TANTARICA,GOBIERNO REGIONAL,I-2,CATÁN - TANTARICA,00004544,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8603,11868364232013297235,2024,07,060507,CAJAMARCA,CONTUMAZA,TANTARICA,GOBIERNO REGIONAL,I-2,00004544,CATÁN - TANTARICA,3,4,0,1,1,0,1,0,0,0,0,1,0,2,0,0,2
00007241,2024,7,0,1,0,1,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,GOBIERNO REGIONAL,I-2,CORRAL GRANDE,00007241,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8629,6475009567091375581,2024,07,130906,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,GOBIERNO REGIONAL,I-2,00007241,CORRAL GRANDE,3,6,0,1,1,0,1,0,0,0,0,1,0,2,0,1,2
00006257,2024,7,0,6,0,9,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,PUESTO DE SALUD ANGAMOS,00006257,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8682,7204039306644434673,2024,07,070106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,00006257,PUESTO DE SALUD ANGAMOS,10,20,0,6,2,0,9,2,4,1,0,6,0,12,3,0,2
00000481,2024,7,3,1,0,1,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-2,PARATUSHALI,00000481,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8683,11095084728953293432,2024,07,120601,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-2,00000481,PARATUSHALI,4,8,3,1,1,0,1,0,0,0,0,1,0,1,0,0,2
00000497,2024,7,0,1,0,1,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,RIO CHARI ALTO,00000497,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8684,5341433265769374657,2024,07,120607,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,00000497,RIO CHARI ALTO,5,10,0,1,1,0,1,1,0,0,0,1,0,2,0,1,2
00000501,2024,7,4,1,0,0,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,ALTO PITOCUNA,00000501,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8686,6449647670801351894,2024,07,120607,JUNIN,SATIPO,RIO NEGRO,GOBIERNO REGIONAL,I-2,00000501,ALTO PITOCUNA,3,6,4,1,1,0,0,0,0,0,2,1,0,2,0,0,2
00010502,2024,7,0,0,0,0,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-1,BELLA ESPERANZA,00010502,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,8687,13216704184781683304,2024,07,120601,JUNIN,SATIPO,SATIPO,GOBIERNO REGIONAL,I-1,00010502,BELLA ESPERANZA,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
