ambito,anio,variable,registros,nulos,porcentaje_nulo,no_numericos,ceros,negativos,minimo,p25,mediana,media,p75,maximo
vista_lima_publica_hospitalaria,2020,CA_CAMAS,536,0,0.0,1,4,0,0,54.0,124.0,246.44859813084113,372.5,1496
vista_lima_publica_hospitalaria,2020,CA_MEDICOS_TOTAL,536,0,0.0,1,0,0,4,97.0,160.0,259.14953271028037,316.0,2048
vista_lima_publica_hospitalaria,2020,CA_MEDICOS_RESIDENTES,536,0,0.0,1,119,0,0,2.0,26.0,66.25420560747664,71.0,506
vista_lima_publica_hospitalaria,2020,CA_ENFERMERAS,536,0,0.0,1,1,0,0,77.0,155.0,271.7570093457944,348.0,2017
vista_lima_publica_hospitalaria,2021,CA_CAMAS,563,0,0.0,0,6,0,0,60.5,144.0,245.4600355239787,371.0,1475
vista_lima_publica_hospitalaria,2021,CA_MEDICOS_TOTAL,563,0,0.0,0,0,0,1,105.0,172.0,273.45293072824154,318.0,4392
vista_lima_publica_hospitalaria,2021,CA_MEDICOS_RESIDENTES,563,0,0.0,0,110,0,0,5.0,30.0,72.28774422735346,89.0,505
vista_lima_publica_hospitalaria,2021,CA_ENFERMERAS,563,0,0.0,0,0,0,1,92.0,237.0,296.9325044404973,342.5,2289
vista_lima_publica_hospitalaria,2022,CA_CAMAS,578,0,0.0,0,13,0,0,55.0,122.0,232.83737024221455,356.25,1523
vista_lima_publica_hospitalaria,2022,CA_MEDICOS_TOTAL,578,0,0.0,0,1,0,0,96.0,170.5,263.1747404844291,300.0,2116
vista_lima_publica_hospitalaria,2022,CA_MEDICOS_RESIDENTES,578,0,0.0,0,112,0,0,5.0,27.0,73.17301038062284,90.0,505
vista_lima_publica_hospitalaria,2022,CA_ENFERMERAS,578,0,0.0,0,4,0,0,88.0,185.0,274.83737024221455,348.5,2194
vista_lima_publica_hospitalaria,2023,CA_CAMAS,584,0,0.0,0,14,0,0,53.0,128.0,231.53595890410958,342.25,1545
vista_lima_publica_hospitalaria,2023,CA_MEDICOS_TOTAL,584,0,0.0,0,2,0,0,94.0,180.0,266.2671232876712,319.0,1956
vista_lima_publica_hospitalaria,2023,CA_MEDICOS_RESIDENTES,584,0,0.0,0,103,0,0,7.75,30.0,71.76369863013699,88.0,413
vista_lima_publica_hospitalaria,2023,CA_ENFERMERAS,584,0,0.0,0,2,0,0,86.0,186.5,278.76883561643837,407.0,2037
vista_lima_publica_hospitalaria,2024,CA_CAMAS,578,0,0.0,0,13,0,0,54.0,121.5,231.6089965397924,354.75,1537
vista_lima_publica_hospitalaria,2024,CA_MEDICOS_TOTAL,578,0,0.0,0,0,0,1,95.0,208.0,265.12629757785464,328.75,1609
vista_lima_publica_hospitalaria,2024,CA_MEDICOS_RESIDENTES,578,0,0.0,0,98,0,0,10.0,33.0,71.85813148788927,82.0,424
vista_lima_publica_hospitalaria,2024,CA_ENFERMERAS,578,0,0.0,0,3,0,0,87.0,205.5,289.7820069204152,436.0,1855
vista_lima_publica_hospitalaria,2025,CA_CAMAS,812,0,0.0,0,67,0,0,9.0,64.0,166.02216748768473,232.0,1535
vista_lima_publica_hospitalaria,2025,CA_MEDICOS_TOTAL,812,0,0.0,0,2,0,0,29.0,113.0,209.23768472906403,263.75,1607
vista_lima_publica_hospitalaria,2025,CA_MEDICOS_RESIDENTES,812,0,0.0,0,299,0,0,0.0,11.5,55.99630541871921,54.25,459
vista_lima_publica_hospitalaria,2025,CA_ENFERMERAS,812,0,0.0,0,2,0,0,31.0,101.0,224.98891625615764,291.0,1923
vista_lima_publica_hospitalaria,2026,CA_CAMAS,481,0,0.0,0,28,0,0,9.0,64.0,161.78586278586278,231.0,1536
vista_lima_publica_hospitalaria,2026,CA_MEDICOS_TOTAL,481,0,0.0,0,0,0,3,30.0,114.0,209.34719334719335,282.0,1622
vista_lima_publica_hospitalaria,2026,CA_MEDICOS_RESIDENTES,481,0,0.0,0,181,0,0,0.0,11.0,56.16216216216216,54.0,459
vista_lima_publica_hospitalaria,2026,CA_ENFERMERAS,481,0,0.0,0,0,0,5,33.0,99.0,217.92515592515593,304.0,1954
