"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","ID_HOSPITALIZACION","HOSPITALIZACION","NRO_TOTAL_HOSPIT_ING","NRO_TOTAL_HOSPIT_EGR","NRO_TOTAL_ESTANCIAS","NRO_TOTAL_PACIENTES_CAMAS","NRO_TOTAL_CAMAS","NRO_TOTAL_CAMAS_DISPONIB","NRO_TOTAL_FALLECIDOS"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","PRIVADO","II-1","00012761","CLINICA SAN LORENZO S.R.L.","241200","HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA ","8","8","34","39","14","406","0"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","PRIVADO","II-1","00012761","CLINICA SAN LORENZO S.R.L.","241300","HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA  ","4","3","12","13","14","406","0"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","PRIVADO","II-1","00012761","CLINICA SAN LORENZO S.R.L.","241400","HOSPITALIZACIÓN QUIRÚRGICA GINECO - OBSTETRICIA ","3","3","14","17","14","406","0"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","PRIVADO","II-1","00012761","CLINICA SAN LORENZO S.R.L.","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","2","2","3","5","14","406","0"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","PRIVADO","II-1","00012761","CLINICA SAN LORENZO S.R.L.","241900","HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ","1","1","2","3","14","406","0"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","PRIVADO","II-1","00012761","CLINICA SAN LORENZO S.R.L.","245300","HOSPITALIZACIÓN DE MEDICINA NEUMOLOGÍA  ","1","1","2","3","14","406","0"
"2020","02","120431","JUNIN","JAUJA","SINCOS","GOBIERNO REGIONAL","I-2","00000406","ARAMACHAY","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","120431","JUNIN","JAUJA","SINCOS","GOBIERNO REGIONAL","I-1","00000408","CHALHUAS","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","120421","JUNIN","JAUJA","MUQUIYAUYO","GOBIERNO REGIONAL","I-2","00000403","MUQUIYAUYO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","103","92","359","460","26","808","0"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","240700","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PEDIÁTRICA ","24","22","102","92","10","310","0"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","241200","HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA ","2","1","8","9","4","118","0"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","243200","HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA","70","61","520","584","20","645","7"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","250105","UNIDAD DE CUIDADOS CRITICOS UNIDAD  DE CUIDADOS INTENSIVOS  (UCI) NEONATOLOGÍA","4","4","37","134","4","136","4"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","242300","HOSPITALIZACIÓN DE PEDIATRÍA  PEDIATRÍA  GENERAL ","59","59","223","213","20","583","1"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","21","19","100","116","8","235","0"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","460","442","1208","1254","46","1443","0"
"2020","01","200601","PIURA","SULLANA","SULLANA","GOBIERNO REGIONAL","II-2","00001910","HOSPITAL DE APOYO II - 2, SULLANA","250100","UNIDAD DE CUIDADOS CRITICOS UNIDAD  DE CUIDADOS INTENSIVOS GENERALES (UCI) ","12","10","78","175","6","186","8"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-4","00009296","POLICLINICO PNP CAJAMARCA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","150135","LIMA","LIMA","SAN MARTIN DE PORRES","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-2","00012739","UNIDAD EJECUTORA 020: SANIDAD DE LA PNP - POLICLINICO PNP SAN DIEGO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","130401","LA LIBERTAD","CHEPEN","CHEPEN","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-1","00025659","Puesto de Salud de la Sanidad PNP. Chepén","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","160113","LORETO","MAYNAS","SAN JUAN BAUTISTA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00011369","POLICLINICO P.N.P. IQUITOS","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","090203","HUANCAVELICA","ACOBAMBA","ANTA","GOBIERNO REGIONAL","I-1","00009697","PUESTO DE SALUD DE CASACANCHA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","090203","HUANCAVELICA","ACOBAMBA","ANTA","GOBIERNO REGIONAL","I-1","00009469","PUESTO DE SALUD VISTA ALEGRE DE ANTA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","210101","PUNO","PUNO","PUNO","ESSALUD","I-3","00009217","CENTRO DE ATENCION PRIMARIA III METROPOLITANO DE PUNO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","120431","JUNIN","JAUJA","SINCOS","GOBIERNO REGIONAL","I-1","00000405","LLACUARIPAMPA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","120413","JUNIN","JAUJA","LEONOR ORDOÑEZ","GOBIERNO REGIONAL","I-1","00000401","HUANCANI","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","150133","LIMA","LIMA","SAN JUAN DE MIRAFLORES","PRIVADO","II-E","00017676","OFTALMOSALUD","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","01","150122","LIMA","LIMA","MIRAFLORES","PRIVADO","I-3","00009562","CENTRO ODONTOLÓGICO CANO ALVAREZ","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","150114","LIMA","LIMA","LA MOLINA","PRIVADO","II-E","00022113","CLINICA SANTA JULIA  S.A.C.","240800","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA ","1","1","5","5","3","87","0"
"2020","02","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00018307","CLINICA MARIA SRL","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","43","42","43","95","15","344","0"
"2020","02","160101","LORETO","MAYNAS","IQUITOS","PRIVADO","I-3","00012075","SARLOR","NE_0002","","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002"
"2020","02","050101","AYACUCHO","HUAMANGA","AYACUCHO","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00011426","POLICLINICO PNP  LUIS LOBATO MEDINA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","070104","CALLAO","CALLAO","LA PERLA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00010557","POLICLINICO  POLICIAL CALLAO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","090101","HUANCAVELICA","HUANCAVELICA","HUANCAVELICA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-2","00009476","POLICLINICO PNP - HUANCAVELICA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","120101","JUNIN","HUANCAYO","HUANCAYO","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00010710","ENRIQUE TORRES GONZALES","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","070101","CALLAO","CALLAO","CALLAO","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-2","00010451","POSTA MÉDICA POLICIAL VIPOL","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","210301","PUNO","CARABAYA","MACUSANI","ESSALUD","I-2","00009896","POSTA MEDICA SAN GABAN - ESSALUD - RED ASISTENCIAL JULIACA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","061101","CAJAMARCA","SAN MIGUEL","SAN MIGUEL","ESSALUD","I-2","00010273","POSTA MEDICA ESSALUD SAN MIGUEL","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
