archivo,fila_csv_aproximada,regla,severidad,descripcion,anio,mes,codigo_ipress,nombre_ipress,servicio_hospitalizacion,valores_relevantes,en_alcance_modelo,estado_revision
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,16976,Q07,REVISAR,"Camas = pacientes-día × días del mes: posible desplazamiento, no confirmado",2016,12,00008671,HOSPITAL I MARINO MOLINA SCIPPA,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""32"", ""NRO_TOTAL_CAMAS"": ""992"", ""ANHO"": ""2016"", ""MES"": ""12"", ""dias_mes"": 31.0}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,16977,Q07,REVISAR,"Camas = pacientes-día × días del mes: posible desplazamiento, no confirmado",2016,12,00008671,HOSPITAL I MARINO MOLINA SCIPPA,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""8"", ""NRO_TOTAL_CAMAS"": ""248"", ""ANHO"": ""2016"", ""MES"": ""12"", ""dias_mes"": 31.0}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,16978,Q07,REVISAR,"Camas = pacientes-día × días del mes: posible desplazamiento, no confirmado",2016,12,00008671,HOSPITAL I MARINO MOLINA SCIPPA,HOSPITALIZACIÓN DE PEDIATRÍA  PEDIATRÍA  GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""14"", ""NRO_TOTAL_CAMAS"": ""434"", ""ANHO"": ""2016"", ""MES"": ""12"", ""dias_mes"": 31.0}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,663,Q08,REVISAR,Ocupación auditada mayor a 120%,2016,12,00005946,HOSPITAL NACIONAL HIPOLITO UNANUE,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""1250"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""961"", ""ocupacion_auditada"": 1.3007284079084287}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,670,Q08,REVISAR,Ocupación auditada mayor a 120%,2016,12,00005946,HOSPITAL NACIONAL HIPOLITO UNANUE,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""1768"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""1457"", ""ocupacion_auditada"": 1.213452299245024}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,710,Q08,REVISAR,Ocupación auditada mayor a 120%,2016,02,00007632,HOSPITAL CARLOS LANFRANCO LA HOZ,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""243"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""145"", ""ocupacion_auditada"": 1.6758620689655173}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,719,Q08,REVISAR,Ocupación auditada mayor a 120%,2016,02,00007632,HOSPITAL CARLOS LANFRANCO LA HOZ,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""821"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""522"", ""ocupacion_auditada"": 1.5727969348659003}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,1150,Q08,REVISAR,Ocupación auditada mayor a 120%,2016,01,00017024,HOSPITAL  MILITAR LUIS ARIAS SCHEREIBER,UNIDAD DE CUIDADOS CRITICOS UNIDAD  DE CUIDADOS INTENSIVOS GENERALES (UCI) ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""190"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""95"", ""ocupacion_auditada"": 2.0}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,1163,Q08,REVISAR,Ocupación auditada mayor a 120%,2016,01,00017024,HOSPITAL  MILITAR LUIS ARIAS SCHEREIBER,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""1788"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""1081"", ""ocupacion_auditada"": 1.6540240518038853}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,1179,Q08,REVISAR,Ocupación auditada mayor a 120%,2016,01,00017024,HOSPITAL  MILITAR LUIS ARIAS SCHEREIBER,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""433"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""270"", ""ocupacion_auditada"": 1.6037037037037036}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
