"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","CA_CONSULTORIOS","CA_CONSULTORIOS_FN","CA_CAMAS","CA_MEDICOS_TOTAL","CA_MEDICOS_SERUM","CA_MEDICOS_RESIDENTES","CA_ENFERMERAS","CA_ODONTOLOGOS","CA_PSICOLOGOS","CA_NUTRICIONISTAS","CA_TECNOLOGOS_MEDICOS","CA_OBSTETRICES","CA_FARMACEUTICOS","CA_AUXILIARES","CA_OTROS_PROF","CA_AMBULANCIAS"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00005005","SANTA ROSA DE LA CAPILLA","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00006862","PALO QUEMADO","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00006958","PLAYA HERMOZA","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-3","00005002","STO. DOMINGO DE LA CAPILLA","7","7","3","2","0","0","2","2","0","0","0","2","1","5","4","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00005003","MIRAFLORES","2","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00006863","NARANJOS","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00006864","NARANJOYACU","3","3","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00008924","NUEVO ORIENTE DE LA CAPILLA","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2020","12","100102","HUANUCO","HUANUCO","AMARILIS","GOBIERNO REGIONAL","I-4","00000755","PERU-COREA","18","36","7","12","0","0","21","2","2","0","0","19","1","22","5","1"
"2020","12","100102","HUANUCO","HUANUCO","AMARILIS","GOBIERNO REGIONAL","I-2","00000763","PUESTO DE SALUD DE LLICUA","7","7","0","0","0","0","3","2","0","0","0","2","0","1","0","0"
"2020","12","100102","HUANUCO","HUANUCO","AMARILIS","GOBIERNO REGIONAL","I-2","00000761","MALCONGA","3","3","0","1","1","0","2","0","0","0","0","1","0","0","0","0"
"2020","12","100102","HUANUCO","HUANUCO","AMARILIS","GOBIERNO REGIONAL","I-2","00000762","PAUCAR","6","6","0","1","1","0","1","0","0","0","0","1","0","1","0","0"
"2020","12","100102","HUANUCO","HUANUCO","AMARILIS","GOBIERNO REGIONAL","I-3","00027051","CENTRO DE SALUD MENTAL COMUNITARIO PAKKARIN","9","7","0","3","0","0","5","0","9","0","0","1","1","4","0","0"
