"ANHO";"MES";"UBIGEO";"DEPARTAMENTO";"PROVINCIA";"DISTRITO";"SECTOR";"CATEGORIA";"CO_IPRESS";"RAZON_SOC";"CA_CONSULTORIOS";"CA_CONSULTORIOS_FN";"CA_CAMAS";"CA_MEDICOS_TOTAL";"CA_MEDICOS_SERUM";"CA_MEDICOS_RESIDENTES";"CA_ENFERMERAS";"CA_ODONTOLOGOS";"CA_PSICOLOGOS";"CA_NUTRICIONISTAS";"CA_TECNOLOGOS_MEDICOS";"CA_OBSTETRICES";"CA_FARMACEUTICOS";"CA_AUXILIARES";"CA_OTROS_PROF";"CA_AMBULANCIAS"
"2025";"05";"060804";"CAJAMARCA";"JAEN";"COLASAY";"GOBIERNO REGIONAL";"I-1";"00031333";"CHUNCHUCA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"2025";"05";"130101";"LA LIBERTAD";"TRUJILLO";"TRUJILLO";"GOBIERNO REGIONAL";"I-3";"00021228";"CENTRO DE SALUD MENTAL COMUNITARIA  DRA. FRIDA ALAYZA COSSIO";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2025";"05";"130101";"LA LIBERTAD";"TRUJILLO";"TRUJILLO";"GOBIERNO REGIONAL";"II-1";"00005204";"HOSPITAL DE ESPECIALIDADES BASICAS LA NORIA";"9";"18";"24";"42";"0";"2";"27";"4";"2";"2";"2";"15";"7";"54";"18";"1"
"2025";"05";"130101";"LA LIBERTAD";"TRUJILLO";"TRUJILLO";"GOBIERNO REGIONAL";"I-4";"00005202";"EL BOSQUE";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2025";"05";"130203";"LA LIBERTAD";"ASCOPE";"CHOCOPE";"ESSALUD";"II-2";"00009037";"HOSPITAL II CHOCOPE";"13";"13";"29";"66";"0";"0";"53";"2";"1";"3";"13";"5";"5";"89";"3";"2"
"2025";"06";"190103";"PASCO";"PASCO";"HUARIACA";"GOBIERNO REGIONAL";"I-1";"00001027";"CHINCHAN";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2025";"07";"070101";"CALLAO";"CALLAO";"CALLAO";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-2";"00010610";"POSTA MEDICA POLICIAL SEDE DIRAVPOL";"4";"4";"0";"2";"2";"0";"2";"3";"2";"0";"0";"2";"1";"5";"0";"0"
"2025";"02";"160605";"LORETO";"UCAYALI";"SARAYACU";"GOBIERNO REGIONAL";"I-4";"00000161";"CENTRO DE SALUD I-4 JUANCITO DE SARAYACU";"7";"5";"6";"1";"0";"0";"1";"1";"0";"0";"0";"2";"0";"27";"1";"0"
"2025";"07";"020105";"ANCASH";"HUARAZ";"INDEPENDENCIA";"GOBIERNO REGIONAL";"I-3";"00028701";"CENTRO DE SALUD MENTAL COMUNITARIO ""ALLY WARAQ""";"11";"18";"0";"3";"0";"0";"5";"0";"7";"0";"2";"0";"1";"4";"1";"0"
"2025";"07";"110201";"ICA";"CHINCHA";"CHINCHA ALTA";"PRIVADO";"II-1";"00032741";"CLINICA NUEVA SALUD";"15";"20";"6";"40";"0";"0";"4";"0";"3";"1";"2";"0";"1";"10";"0";"1"
"2025";"07";"150101";"LIMA";"LIMA";"LIMA";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-3";"00017391";"POLICLINICO COIP";"6";"10";"0";"7";"4";"0";"6";"3";"4";"2";"4";"1";"2";"3";"2";"0"
"2025";"07";"150107";"LIMA";"LIMA";"CHACLACAYO";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-2";"00011227";"POSTA  DE SALUD POLICIAL CHACLACAYO";"6";"6";"0";"1";"0";"0";"3";"1";"3";"1";"0";"1";"1";"6";"0";"0"
"2025";"07";"010701";"AMAZONAS";"UTCUBAMBA";"BAGUA GRANDE";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-3";"00018106";"POLICLINICO POLICIAL BAGUA GRANDE";"5";"7";"0";"3";"3";"0";"5";"2";"3";"0";"2";"1";"2";"6";"1";"0"
"2025";"07";"040201";"AREQUIPA";"CAMANA";"CAMANA";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-2";"00011661";"POSTA MEDICA POLICIAL CAMANA";"3";"1";"0";"1";"1";"0";"3";"0";"0";"0";"0";"0";"0";"5";"0";"0"
"2025";"07";"010201";"AMAZONAS";"BAGUA";"BAGUA";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-3";"00035199";"SANIDAD PNP BAGUA";"4";"7";"0";"2";"2";"0";"6";"0";"2";"1";"3";"2";"4";"2";"0";"0"
"2025";"07";"070102";"CALLAO";"CALLAO";"BELLAVISTA";"PRIVADO";"II-1";"00009250";"CLINICAS AUNA - SEDE BELLAVISTA";"20";"40";"19";"80";"0";"0";"33";"0";"1";"2";"5";"7";"3";"53";"0";"1"
"2025";"07";"060301";"CAJAMARCA";"CELENDIN";"CELENDIN";"ESSALUD";"I-3";"00010269";"CENTRO MEDICO ESSALUD CELENDIN";"14";"14";"0";"4";"1";"0";"3";"1";"1";"1";"2";"2";"0";"2";"4";"1"
"2025";"07";"150108";"LIMA";"LIMA";"CHORRILLOS";"ESSALUD";"I-3";"00008438";"POLICLINICO JUAN JOSE RODRIGUEZ LAZO";"36";"74";"0";"62";"0";"1";"38";"6";"3";"2";"19";"4";"6";"58";"2";"0"
"2025";"07";"060801";"CAJAMARCA";"JAEN";"JAEN";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-3";"00018950";"POLICLINICO POLICIAL JAEN";"6";"11";"0";"3";"2";"0";"6";"1";"1";"0";"3";"1";"0";"6";"0";"0"
"2025";"08";"060105";"CAJAMARCA";"CAJAMARCA";"ENCA?ADA";"GOBIERNO REGIONAL";"I-1";"00004598";"LA VICTORIA";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"2025";"07";"070106";"CALLAO";"CALLAO";"VENTANILLA";"GOBIERNO REGIONAL";"I-2";"00006259";"PUESTO DE SALUD VENTANILLA ESTE";"9";"10";"0";"3";"2";"0";"6";"3";"2";"1";"0";"3";"0";"12";"0";"0"
"2025";"07";"070101";"CALLAO";"CALLAO";"CALLAO";"GOBIERNO REGIONAL";"I-4";"00006238";"CENTRO DE SALUD MARQUEZ";"15";"14";"10";"14";"0";"0";"14";"4";"2";"1";"2";"10";"2";"31";"0";"1"
"2025";"08";"060105";"CAJAMARCA";"CAJAMARCA";"ENCA?ADA";"GOBIERNO REGIONAL";"I-3";"00004605";"ENCA?ADA";"7";"7";"4";"4";"2";"0";"8";"2";"1";"1";"1";"6";"1";"8";"0";"2"
"2025";"08";"060105";"CAJAMARCA";"CAJAMARCA";"ENCA?ADA";"GOBIERNO REGIONAL";"I-1";"00004599";"YERBA BUENA";"3";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"2025";"08";"060105";"CAJAMARCA";"CAJAMARCA";"ENCA?ADA";"GOBIERNO REGIONAL";"I-1";"00004595";"CHAMCAS";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"2025";"08";"100504";"HUANUCO";"HUAMALIES";"JACAS GRANDE";"GOBIERNO REGIONAL";"I-2";"00000897";"JACAS GRANDE";"5";"5";"0";"2";"1";"0";"3";"1";"1";"0";"0";"3";"0";"7";"0";"2"
"2025";"08";"100505";"HUANUCO";"HUAMALIES";"JIRCAN";"GOBIERNO REGIONAL";"I-2";"00000904";"JIRCAN";"5";"5";"0";"1";"1";"0";"2";"1";"1";"0";"0";"2";"0";"3";"1";"2"
"2025";"08";"150133";"LIMA";"LIMA";"SAN JUAN DE MIRAFLORES";"PRIVADO";"II-E";"00027478";"CLINICA BUENAVENTURA";"30";"4";"36";"65";"0";"0";"11";"1";"0";"0";"3";"0";"2";"16";"0";"0"
"2025";"08";"250102";"UCAYALI";"CORONEL PORTILLO";"CAMPOVERDE";"GOBIERNO REGIONAL";"I-1";"00005442";"TUPAC AMARU";"10";"16";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0"
"2025";"08";"250101";"UCAYALI";"CORONEL PORTILLO";"CALLERIA";"GOBIERNO REGIONAL";"I-3";"00005558";"MICAELA BASTIDAS";"10";"16";"0";"4";"1";"0";"13";"5";"7";"1";"0";"5";"0";"0";"17";"0"
"2025";"08";"250107";"UCAYALI";"CORONEL PORTILLO";"MANANTAY";"MINSA";"I-3";"00005563";"FRATERNIDAD";"10";"16";"0";"12";"0";"0";"18";"4";"1";"2";"0";"12";"0";"0";"35";"0"
"2025";"08";"250101";"UCAYALI";"CORONEL PORTILLO";"CALLERIA";"GOBIERNO REGIONAL";"I-1";"00005564";"DOS DE MAYO KM.12";"10";"16";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"2025";"08";"250101";"UCAYALI";"CORONEL PORTILLO";"CALLERIA";"GOBIERNO REGIONAL";"I-1";"00005571";"SANTA ELENA";"10";"16";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2025";"08";"250101";"UCAYALI";"CORONEL PORTILLO";"CALLERIA";"GOBIERNO REGIONAL";"I-1";"00005575";"YANAMAYO";"10";"16";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"2025";"08";"250107";"UCAYALI";"CORONEL PORTILLO";"MANANTAY";"GOBIERNO REGIONAL";"I-3";"00027062";"CENTRO DE SALUD MENTAL COMUNITARIO PROCERES DE LA INDEPENDENCIA";"10";"16";"0";"3";"0";"0";"4";"0";"1";"0";"1";"0";"1";"1";"10";"0"
"2025";"08";"250107";"UCAYALI";"CORONEL PORTILLO";"MANANTAY";"GOBIERNO REGIONAL";"I-2";"00005557";"NUESTRA SE?ORA DE LAS MERCEDES";"10";"16";"0";"4";"0";"0";"5";"1";"3";"0";"0";"4";"0";"0";"17";"0"
