anio,mes,ubigeo,departamento,provincia,distrito,sector,categoria_ipress,codigo_ipress,nombre_ipress,id_hospitalizacion,servicio_hospitalizacion,total_ingresos,total_egresos,total_estancias,total_pacientes_camas,total_camas,total_camas_disponibles,total_fallecidos,dias_mes,promedio_estancia,tasa_fallecidos,ratio_camas_disponibles,ocupacion_estimada,presion_ingresos_camas,rotacion_camas,diferencia_ingresos_egresos,nivel_riesgo,nivel_riesgo_codificado
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,240100,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,402,353,3696,2895,120,3720,8,31,10.470254957507082,0.0226628895184136,31.0,0.7782258064516129,0.10806451612903226,2.941666666666667,49,medio,1
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,240200,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,33,31,285,346,15,465,0,31,9.193548387096774,0.0,31.0,0.7440860215053764,0.07096774193548387,2.066666666666667,2,medio,1
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,240800,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,23,23,511,547,23,713,2,31,22.217391304347824,0.08695652173913043,31.0,0.7671809256661991,0.03225806451612903,1.0,0,medio,1
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,240900,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,34,28,396,451,15,465,1,31,14.142857142857142,0.03571428571428571,31.0,0.9698924731182795,0.07311827956989247,1.8666666666666667,6,alto,2
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,241200,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,56,59,981,569,30,930,0,31,16.627118644067796,0.0,31.0,0.6118279569892473,0.060215053763440864,1.9666666666666666,-3,bajo,0
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,241300,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,92,67,533,783,32,992,0,31,7.955223880597015,0.0,31.0,0.7893145161290323,0.09274193548387097,2.09375,25,medio,1
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,241500,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,169,140,889,1088,53,1643,0,31,6.35,0.0,31.0,0.6622032866707243,0.10286062081558126,2.641509433962264,29,medio,1
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,241600,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA,409,410,1548,977,79,2449,0,31,3.7756097560975608,0.0,31.0,0.39893834218048185,0.16700694160881993,5.189873417721519,-1,alto,2
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,241700,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA GINECOLOGIA ONCOLOGICA,25,23,150,155,8,248,0,31,6.521739130434782,0.0,31.0,0.625,0.10080645161290322,2.875,2,medio,1
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,241800,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,25,23,156,145,6,186,1,31,6.782608695652174,0.043478260869565216,31.0,0.7795698924731183,0.13440860215053763,3.8333333333333335,2,alto,2
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,241900,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,600,582,7847,7108,253,7843,77,31,13.482817869415808,0.1323024054982818,31.0,0.9062858600025501,0.07650133877342853,2.300395256916996,18,alto,2
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,242300,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,82,92,543,131,38,1178,0,31,5.9021739130434785,0.0,31.0,0.11120543293718166,0.06960950764006792,2.4210526315789473,-10,bajo,0
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,243200,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,305,322,1297,539,76,2356,4,31,4.027950310559007,0.012422360248447204,31.0,0.22877758913412563,0.12945670628183362,4.2368421052631575,-17,alto,2
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,250100,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI),23,18,227,299,10,310,3,31,12.61111111111111,0.16666666666666666,31.0,0.964516129032258,0.07419354838709677,1.8,5,alto,2
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-1,00006207,NACIONAL ARZOBISPO LOAYZA,250200,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS GENERAL (UCIN),21,23,260,179,10,310,5,31,11.304347826086957,0.21739130434782608,31.0,0.5774193548387097,0.06774193548387097,2.3,-2,bajo,0
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,240900,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,132,65,1114,1024,36,1116,3,31,17.138461538461538,0.046153846153846156,31.0,0.9175627240143369,0.11827956989247312,1.8055555555555556,67,alto,2
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,243400,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,23,11,136,312,20,620,0,31,12.363636363636363,0.0,31.0,0.5032258064516129,0.037096774193548385,0.55,12,bajo,0
2015,1,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,244800,HOSPITALIZACIÓN-HOSPITALIZACIÓN DE MEDICINA-GERIATRIA,20,13,330,386,20,620,0,31,25.384615384615383,0.0,31.0,0.6225806451612903,0.03225806451612903,0.65,7,bajo,0
