variable,importancia
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,0.00012222139
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA ONCOLOGÍA MÉDICA,9.166625e-05
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS (UCIN) PEDIATRICOS,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS (UCIN) NEONATAL,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI) MEDICINA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI) GINECO-OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI) CARDIOLOGIA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI),0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) RESPIRATORIA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) QUIRÚRGICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROQUIRÚRGICA,0.0
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROQUIRURGICA,0.0
categoricas__codigo_ipress_00006217,0.0
categoricas__codigo_ipress_00028466,0.0
categoricas__codigo_ipress_00028025,0.0
categoricas__codigo_ipress_00027565,0.0
categoricas__codigo_ipress_00023159,0.0
categoricas__codigo_ipress_00018580,0.0
categoricas__codigo_ipress_00016094,0.0
