modelo,tipo,anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total
Regla_Ocupacion_Actual,baseline,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7302706390720947,0.6824646180665237,0.6823221520975421,0.6824646180665237,0.6823674945811606,0.8642283467385212,,0.7909426013691416,0.7963944856839873,0.793659180977543,1899,397,0.20905739863085834,126,0.06635071090047394,0.028655901751193997
Regresion_Logistica,modelo,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7164309031556039,0.6792677807189741,0.6727711580724164,0.6792677807189741,0.6752308863712001,0.8581361692210602,0.8599985918387465,0.7840182648401827,0.8286679536679536,0.8057250117315814,2190,473,0.21598173515981736,125,0.05707762557077625,0.02720348204570185
Random_Forest,modelo,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7177366702937976,0.7011511274760195,0.6957062218855121,0.7011511274760195,0.693890483731057,0.8644215500052099,0.8737316940566145,0.7438356164383562,0.8683368869936035,0.8012788981800296,2190,561,0.25616438356164384,105,0.04794520547945205,0.022850924918389554
XGBoost,modelo,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7244831338411316,0.7042009303216759,0.6994539282578772,0.7042009303216759,0.6986044427473992,0.866482366617325,0.8742744892845663,0.7634703196347032,0.8614116434827409,0.8094892277898813,2190,518,0.2365296803652968,92,0.04200913242009133,0.02002176278563656
Clase_Mayoritaria,baseline,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.4766050054406964,0.3333333333333333,0.1588683351468988,0.3333333333333333,0.21518054532056005,0.6666666666666666,,1.0,0.4766050054406964,0.6455416359616801,2190,0,0.0,0,0.0,0.0
Persistencia_Riesgo_Actual,baseline,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7244831338411316,0.6848889306046807,0.6846029797038743,0.6848889306046807,0.6847443925711406,0.8602366413231689,,0.815068493150685,0.8165599268069533,0.8158135283363802,2190,405,0.18493150684931506,104,0.047488584474885846,0.022633297062023938
Regla_Ocupacion_Actual,baseline,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7244831338411316,0.6848889306046807,0.6846029797038743,0.6848889306046807,0.6847443925711406,0.8602366413231689,,0.815068493150685,0.8165599268069533,0.8158135283363802,2190,405,0.18493150684931506,104,0.047488584474885846,0.022633297062023938
Regresion_Logistica,modelo,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7242726877985237,0.6942655438083376,0.6924933110885513,0.6942655438083376,0.6928307507724528,0.8624504343017603,0.8743119512641327,0.7990970654627539,0.8360888049126122,0.817174515235457,2215,445,0.20090293453724606,84,0.037923250564334085,0.0182370820668693
Random_Forest,modelo,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7314372557533652,0.7215436042845463,0.719810017136826,0.7215436042845463,0.7137639794403453,0.8719697885551808,0.8863476532721498,0.7553047404063206,0.8865924748277689,0.8156996587030717,2215,542,0.24469525959367946,77,0.03476297968397291,0.016717325227963525
XGBoost,modelo,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7359965262700825,0.725621121753042,0.723971795941987,0.725621121753042,0.7180530076575797,0.8740969768270008,0.8915980105560507,0.762076749435666,0.888421052631579,0.8204131227217498,2215,527,0.23792325056433408,69,0.031151241534988713,0.014980460269214069
Clase_Mayoritaria,baseline,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.48089448545375596,0.3333333333333333,0.16029816181791864,0.3333333333333333,0.2164882959487856,0.6666666666666666,,1.0,0.48089448545375596,0.6494648878463568,2215,0,0.0,0,0.0,0.0
Persistencia_Riesgo_Actual,baseline,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7401215805471124,0.7040674565218316,0.7033797486259047,0.7040674565218316,0.7037183053683435,0.8687863052845569,,0.8334085778781039,0.837948252383114,0.8356722498868266,2215,369,0.16659142212189615,86,0.03882618510158013,0.018671298306556665
Regla_Ocupacion_Actual,baseline,2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7401215805471124,0.7040674565218316,0.7033797486259047,0.7040674565218316,0.7037183053683435,0.8687863052845569,,0.8334085778781039,0.837948252383114,0.8356722498868266,2215,369,0.16659142212189615,86,0.03882618510158013,0.018671298306556665
Regresion_Logistica,modelo,2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7478753541076487,0.7205106640269069,0.7206106218059246,0.7205106640269069,0.7197555950022592,0.8744491721545762,0.8956158972896261,0.8103975535168195,0.8333333333333334,0.821705426356589,2289,434,0.18960244648318042,74,0.03232852774137178,0.014973694860380412
Random_Forest,modelo,2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7555645487656819,0.7490363688778642,0.7448274283773172,0.7490363688778642,0.7395397686755691,0.8842739602813535,0.9071093104725928,0.765399737876802,0.8938775510204081,0.824664626971052,2289,537,0.2346002621231979,80,0.03494975972040192,0.016187778227438283
XGBoost,modelo,2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7606232294617564,0.7535381532758763,0.7511422780102622,0.7535381532758763,0.744950793593847,0.8862033750609225,0.9106909571023701,0.7741371778069026,0.8873309964947421,0.8268782081194587,2289,517,0.22586282219309742,63,0.027522935779816515,0.012747875354107648
Clase_Mayoritaria,baseline,2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.4631728045325779,0.3333333333333333,0.15439093484419264,0.3333333333333333,0.2110358180058083,0.6666666666666666,,1.0,0.4631728045325779,0.633107454017425,2289,0,0.0,0,0.0,0.0
Persistencia_Riesgo_Actual,baseline,2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7492917847025495,0.714130000831911,0.7146720528734597,0.714130000831911,0.7143889020489805,0.8731869199861956,,0.8309305373525557,0.8255208333333334,0.8282168517308948,2289,387,0.1690694626474443,93,0.04062909567496723,0.018818292189397005
Regla_Ocupacion_Actual,baseline,2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7492917847025495,0.714130000831911,0.7146720528734597,0.714130000831911,0.7143889020489805,0.8731869199861956,,0.8309305373525557,0.8255208333333334,0.8282168517308948,2289,387,0.1690694626474443,93,0.04062909567496723,0.018818292189397005
