anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,regla,tipo,tipo_regla,umbral,umbral_proteccion,fase,probabilidades_sha256,predichos_bajo,proporcion_predicha_bajo,predichos_medio,proporcion_predicha_medio,predichos_alto,proporcion_predicha_alto,delta_proporcion_predicha_alto_vs_argmax,riesgo_expansion_alto
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7407407407407407,0.7061039907703494,0.7016308213605186,0.7061039907703494,0.7016224855614862,0.8733088220619404,0.879984434506257,0.7530082330588981,0.8279944289693594,0.7887230514096186,1579,390,0.24699176694110198,101,0.06396453451551615,0.025275275275275275,combinada_0.40_0.20,regla_decision,combinada,0.4,0.2,desarrollo,7790a926d7e11a868dc5a374b0ba034036111894f4d11b95c604db2170380c80,1645,0.4116616616616617,915,0.22897897897897898,1436,0.35935935935935936,0.010010010010010006,False
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.742992992992993,0.6996036741142376,0.6970429025511703,0.6996036741142376,0.697859265967112,0.8726832895435539,0.879984434506257,0.7815072830905636,0.8091803278688524,0.7951030927835052,1579,345,0.21849271690943636,101,0.06396453451551615,0.025275275275275275,combinada_0.35_0.20,regla_decision,combinada,0.35,0.2,desarrollo,7790a926d7e11a868dc5a374b0ba034036111894f4d11b95c604db2170380c80,1645,0.4116616616616617,826,0.2067067067067067,1525,0.3816316316316316,0.03228228228228225,False
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7298157834887423,0.7023918164208559,0.6976412845954297,0.7023918164208559,0.696872793412408,0.8690613665076926,0.8786819255795791,0.7519747235387045,0.8311990686845169,0.7896046447332042,1899,471,0.2480252764612954,110,0.057925223802001054,0.02501705708437571,argmax,regla_decision,argmax,,,desarrollo,8d1021b4f33af4551bef2b83180f2b7775dfa7c1aa5c87ec6a7f228f3c8d1b25,1581,0.3595633386399818,1098,0.2497157152604048,1718,0.3907209460996134,0.0,False
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.727768933363657,0.7042044724119169,0.7005168456070071,0.7042044724119169,0.6975580528919766,0.8691879257717829,0.8786819255795791,0.7519747235387045,0.8311990686845169,0.7896046447332042,1899,471,0.2480252764612954,93,0.04897314375987362,0.021150784625881283,proteccion_0.20,regla_decision,proteccion,0.2,,desarrollo,8d1021b4f33af4551bef2b83180f2b7775dfa7c1aa5c87ec6a7f228f3c8d1b25,1515,0.3445531043893564,1164,0.26472594951103023,1718,0.3907209460996134,0.0,False
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.735728906072322,0.7023198141411906,0.6986488639011063,0.7023198141411906,0.698983763311731,0.8704839046511202,0.8786819255795791,0.7772511848341233,0.8232013385387619,0.799566630552546,1899,423,0.22274881516587677,109,0.0573986308583465,0.024789629292699566,alto_0.40,regla_decision,alto,0.4,,desarrollo,8d1021b4f33af4551bef2b83180f2b7775dfa7c1aa5c87ec6a7f228f3c8d1b25,1580,0.3593359108483057,1024,0.23288605867637024,1793,0.40777803047532407,0.017057084375710685,False
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7402774619058449,0.6995778831366727,0.6985686141554884,0.6995778831366727,0.698762520800142,0.8705190283921717,0.8786819255795791,0.8056872037914692,0.8073878627968337,0.8065366367949394,1899,369,0.1943127962085308,108,0.05687203791469194,0.024562201501023426,alto_0.35,regla_decision,alto,0.35,,desarrollo,8d1021b4f33af4551bef2b83180f2b7775dfa7c1aa5c87ec6a7f228f3c8d1b25,1574,0.3579713440982488,928,0.21105299067546054,1895,0.43097566522629066,0.040254719126677274,False
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7336820559472368,0.7041324701322514,0.701096449113214,0.7041324701322514,0.6997592645687775,0.8705841002476774,0.8786819255795791,0.7772511848341233,0.8232013385387619,0.799566630552546,1899,423,0.22274881516587677,93,0.04897314375987362,0.021150784625881283,combinada_0.40_0.20,regla_decision,combinada,0.4,0.2,desarrollo,8d1021b4f33af4551bef2b83180f2b7775dfa7c1aa5c87ec6a7f228f3c8d1b25,1515,0.3445531043893564,1089,0.24766886513531955,1793,0.40777803047532407,0.017057084375710685,False
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7393677507391403,0.7024099071195784,0.7013414449848959,0.7024099071195784,0.7007460174987851,0.8710644694515484,0.8786819255795791,0.8056872037914692,0.8073878627968337,0.8065366367949394,1899,369,0.1943127962085308,93,0.04897314375987362,0.021150784625881283,combinada_0.35_0.20,regla_decision,combinada,0.35,0.2,desarrollo,8d1021b4f33af4551bef2b83180f2b7775dfa7c1aa5c87ec6a7f228f3c8d1b25,1515,0.3445531043893564,987,0.22447123038435296,1895,0.43097566522629066,0.040254719126677274,False
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7297062023939064,0.7095198005157051,0.7052373869412175,0.7095198005157051,0.7042343949480165,0.8686527222317869,0.8786453999583514,0.7726027397260274,0.8606307222787386,0.8142444658325313,2190,498,0.2273972602739726,92,0.04200913242009133,0.02002176278563656,argmax,regla_decision,argmax,,,desarrollo,9cc0c2fa2564d2988737310b1cf35a46867ea977d2a1daf130c94bedbd580af1,1351,0.2940152339499456,1278,0.2781284004352557,1966,0.4278563656147987,0.0,False
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7279651795429815,0.7090002939902308,0.7075030076976819,0.7090002939902308,0.7039339096656451,0.8682307484297193,0.8786453999583514,0.7726027397260274,0.8606307222787386,0.8142444658325313,2190,498,0.2273972602739726,78,0.03561643835616438,0.016974972796517954,proteccion_0.20,regla_decision,proteccion,0.2,,desarrollo,9cc0c2fa2564d2988737310b1cf35a46867ea977d2a1daf130c94bedbd580af1,1297,0.2822633297062024,1332,0.2898803046789989,1966,0.4278563656147987,0.0,False
