anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,modelo,tipo,fase,n_features,delta_accuracy_vs_ganador,delta_balanced_accuracy_vs_ganador,delta_precision_macro_vs_ganador,delta_recall_macro_vs_ganador,delta_f1_macro_vs_ganador,delta_specificity_macro_vs_ganador,delta_roc_auc_ovr_macro_vs_ganador,delta_recall_alto_vs_ganador,delta_precision_alto_vs_ganador,delta_f1_alto_vs_ganador,delta_casos_alto_reales_vs_ganador,delta_falsos_negativos_alto_vs_ganador,delta_tasa_falsos_negativos_alto_vs_ganador,delta_errores_alto_bajo_vs_ganador,delta_proporcion_alto_bajo_vs_ganador,delta_proporcion_alto_bajo_total_vs_ganador
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7407407407407407,0.7060364413501087,0.703155036441907,0.7060364413501087,0.7019144477189542,0.8723230013909681,0.8795147000609861,0.7352754908169727,0.8449781659388647,0.7863189976295293,1579,418,0.26472450918302726,136,0.08613046231792273,0.03403403403403404,sin_ratio_camas_disponibles,modelo,ablacion,68,-0.0012512512512512508,0.001322459595055836,0.0008162161288621794,0.001322459595055836,0.00036485818617149057,-4.718365028688609e-06,-0.00046973444527087516,-0.006966434452184922,0.005436618660927706,-0.0015801620343363076,0.0,11.0,0.0069664344521849775,-1.0,-0.000633312222925897,-0.0002502502502502446
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7289060723220377,0.701101901906461,0.6963401532947754,0.701101901906461,0.695597030908507,0.868630497384407,0.878554792364564,0.7472353870458136,0.8312829525483304,0.7870216306156407,1899,480,0.2527646129541864,111,0.05845181674565561,0.025244484876051854,sin_ratio_camas_disponibles,modelo,ablacion,68,-0.0009097111667045743,-0.0012899145143948632,-0.0013011313006543457,-0.0012899145143948632,-0.0012757625039010456,-0.00043086912328560434,-0.00012713321501511832,-0.004739336492890933,8.388386381352753e-05,-0.0025830141175635646,0.0,9.0,0.004739336492890989,1.0,0.0005265929436545566,0.00022742779167614358
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7305767138193688,0.7092505175753586,0.7051617625530668,0.7092505175753586,0.7043629654616773,0.868832839616618,0.8792465695215524,0.7771689497716895,0.8595959595959596,0.8163069544364507,2190,488,0.2228310502283105,95,0.04337899543378995,0.020674646354733407,sin_ratio_camas_disponibles,modelo,ablacion,68,0.0008705114254624613,-0.0002692829403464492,-7.562438815067463e-05,-0.0002692829403464492,0.0001285705136607751,0.00018011738483103557,0.0006011695632009983,0.004566210045662045,-0.0010347626827790224,0.0020624886039194434,0.0,-10.0,-0.0045662100456621,3.0,0.0013698630136986245,0.000652883569096846
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7372991749891445,0.7256354338039305,0.7258056964695937,0.7256354338039305,0.7187691197850824,0.8746172033597556,0.8955874863465176,0.7702031602708803,0.888079125455492,0.8249516441005803,2215,509,0.22979683972911963,64,0.028893905191873587,0.013894919669995658,sin_ratio_camas_disponibles,modelo,ablacion,68,0.0008684324793746256,0.0017198550656866152,0.0010918795414776028,0.0017198550656866152,0.0011663263960310921,0.0007991292571500885,0.0002269378864966365,-0.0018058690744920947,0.004358195222933792,0.0008552585584116201,0.0,4.0,0.0018058690744920947,5.0,0.002257336343115122,0.0010855405992184104
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7234389561975769,0.7030714630918163,0.6989249568523133,0.7030714630918163,0.6988149257894406,0.8642710110020827,0.8836207951746388,0.7788415509813308,0.858575197889182,0.8167670682730924,2089,462,0.2211584490186692,91,0.043561512685495456,0.021202236719478098,sin_presion_ingresos_camas,modelo,ablacion,68,-0.005824790307548899,-0.005997015701554309,-0.005137972013483871,-0.005997015701554309,-0.005785680268138749,-0.0027971497703154213,-0.0009182562087250989,-0.00478697941598849,-0.003003749479238982,-0.003990013702339978,0.0,10.0,0.00478697941598849,0.0,0.0,0.0
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7397397397397397,0.7044920039424668,0.7018288457182699,0.7044920039424668,0.7005158213417507,0.871796153002756,0.8797276277100954,0.7346421785940469,0.8442503639010189,0.7856417202844566,1579,419,0.26535782140595315,137,0.08676377454084863,0.03428428428428428,sin_presion_ingresos_camas,modelo,ablacion,68,-0.0022522522522522292,-0.00022197781258603833,-0.0005099745947749756,-0.00022197781258603833,-0.0010337681910319585,-0.0005315667532407309,-0.0002568067961615794,-0.007599746675110763,0.0047088166230819795,-0.002257439379409032,0.0,12.0,0.007599746675110874,0.0,0.0,0.0
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7291335001137139,0.7020636217972572,0.6971679325603217,0.7020636217972572,0.6963127622276589,0.868868537656004,0.8785528513114002,0.7467087941021591,0.8326482677627716,0.787340366463076,1899,481,0.253291205897841,112,0.05897840968931016,0.025471912667727997,sin_presion_ingresos_camas,modelo,ablacion,68,-0.000682283375028403,-0.00032819462359867657,-0.00047335203510801005,-0.00032819462359867657,-0.0005600311847491213,-0.00019282885168858677,-0.00012907426817898582,-0.005265929436545469,0.0014491990782546926,-0.002264278270128206,0.0,10.0,0.00526592943654558,2.0,0.0010531858873091063,0.00045485558335228715
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.731664853101197,0.7108910195514179,0.7058335997553223,0.7108910195514179,0.7055546320780484,0.8695304976836801,0.8795920716240252,0.7748858447488585,0.8622967479674797,0.8162578162578163,2190,493,0.22511415525114156,97,0.04429223744292238,0.021109902067464634,sin_presion_ingresos_camas,modelo,ablacion,68,0.001958650707290621,0.0013712190357128007,0.000596212814104824,0.0013712190357128007,0.0013202371300318205,0.0008777754518931591,0.0009466716656737484,0.0022831050228310223,0.0016660256887410796,0.0020133504252850543,0.0,-5.0,-0.00228310502283105,5.0,0.00228310502283105,0.0010881392818280732
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7372991749891445,0.7258618759556127,0.7262116503592408,0.7258618759556127,0.7189854895362565,0.8745494814693298,0.8952130722524679,0.7697516930022573,0.8870967741935484,0.824268793811941,2215,510,0.23024830699774265,63,0.028442437923250564,0.013677811550151976,sin_presion_ingresos_camas,modelo,ablacion,68,0.0008684324793746256,0.0019462972173688309,0.001497833431124751,0.0019462972173688309,0.001382696147205209,0.0007314073667242793,-0.00014747620755306556,-0.0022573363431150906,0.0033758439609902213,0.00017240826977227286,0.0,5.0,0.0022573363431151183,4.0,0.0018058690744920981,0.000868432479374728
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7260018639328985,0.7055604010128954,0.7004531108820591,0.7055604010128954,0.70127376804356,0.8648834676682079,0.8835852472933627,0.7802776448061274,0.8542976939203354,0.8156117087815863,2089,459,0.21972235519387268,92,0.0440402106270943,0.021435228331780055,sin_anio,modelo,ablacion,68,-0.0032618825722273703,-0.0035080777804752383,-0.0036098179837380506,-0.0035080777804752383,-0.00332683801401934,-0.0021846931041902273,-0.0009538040900011202,-0.003350885591191899,-0.007281253448085612,-0.0051453731938461145,0.0,7.0,0.0033508855911919544,1.0,0.00047869794159884765,0.0002329916123019575
