variable,anio_prueba,importancia_f1_macro_media,importancia_f1_macro_std,f1_macro_sin_permutar,n_test,n_muestra,repeticiones,random_state,metodo,es_causal,conjunto
meses_medio_alto_ultimos_3m,2018,0.0010001357048999109,0.0013603179128744607,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
meses_consecutivos_alto,2018,0.005690173868547384,0.002832051356078279,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
margen_umbral_alto,2018,0.004569345330271128,0.0020367248518598988,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
margen_umbral_medio,2018,0.0018496672306991258,0.0013161534492399166,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
distancia_absoluta_umbral_alto,2018,0.012152235883471177,0.004644319111744524,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
crecimiento_demanda_1m,2018,0.0035860666547284183,0.0016585509828768439,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
crecimiento_capacidad_1m,2018,0.0006740947833088576,0.0023969027361412354,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
brecha_crecimiento_demanda_capacidad,2018,0.00236880893158938,0.0009457697307186848,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
anio,2021,0.0,0.0,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
mes,2021,0.004305696916105088,0.002185704572314828,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
departamento,2021,0.0,0.0,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
provincia,2021,0.0,0.0,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
distrito,2021,0.0018688047269074988,0.0021945218449229945,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
sector,2021,0.0026054401834388527,0.0035761183450865462,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
categoria_ipress,2021,0.005217391141213372,0.004139360458625012,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
servicio_hospitalizacion,2021,0.005742250941807951,0.0028714044311092236,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
total_ingresos,2021,-0.0030374042598562876,0.002603337142897615,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
total_egresos,2021,0.000752424405023322,0.0020424681578414374,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
total_estancias,2021,-0.0001915173514105787,0.0010563883667952952,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
total_pacientes_camas,2021,-0.00022480332717130422,0.0017002858033968423,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
total_camas,2021,-0.0009121243790404984,0.0036431224240347482,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
total_camas_disponibles,2021,-0.0017440930589802302,0.0012810590119410816,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
total_fallecidos,2021,-0.0006638945286914962,0.0005549661246514859,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
dias_mes,2021,0.006671375886136495,0.001260168534972493,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
promedio_estancia,2021,0.0014925640722884825,0.0008647278551921014,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
tasa_fallecidos,2021,0.00400589791952366,0.0012872403620775028,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
ratio_camas_disponibles,2021,-0.00099089113291236,0.001865450402870401,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_estimada,2021,0.05029124776871282,0.008246869123021848,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
presion_ingresos_camas,2021,0.000645369556270999,0.004080957336515901,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
rotacion_camas,2021,9.622166019529477e-05,0.002178643518775701,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
diferencia_ingresos_egresos,2021,0.006978018357360487,0.0030019015080296253,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
trimestre,2021,0.0003578113792657896,0.0007497195097656051,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
semestre,2021,0.0,0.0,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
mes_sin,2021,0.0008258027896795861,0.0029416438446407574,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
mes_cos,2021,-0.0023968028814581968,0.00173311062988081,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
es_fin_de_anio,2021,0.0,0.0,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_ocupacion,2021,0.014321868293272496,0.003721443219936364,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_presion,2021,-0.002071213729286018,0.0035006548913471534,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_ingresos,2021,-0.00346796839295882,0.0010200337213465505,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_egresos,2021,-0.002586391978057175,0.0007897917888184275,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_estancias,2021,0.002870240547042102,0.0012790710499975364,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
tendencia_ocupacion_1m,2021,-0.0018409675955011195,0.003595215355848095,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
tendencia_presion_1m,2021,0.0024959873269966293,0.0023261081070535482,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
tendencia_ingresos_1m,2021,0.0032472568743637056,0.0011281675090364376,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
