variable,importancia
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA GASTROENTEROLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA ENDOCRINOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA DERMATOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA CARDIOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-MEDICINA,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE TRAUMA SHOCK-,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA-EMERGENCIA / PRIORIDAD 2-TRAUMATOLOGÍA Y ORTOPEDIA,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA SHOCKTRAUMA / PRIORIDAD 1,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-PSIQUIATRÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-PEDIATRÍA GENERAL-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-OFTALMOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA CARDIOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA REUMATOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA REHABILITACIÓN PSIQUIÁTRICA / REINSERCIÓN,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA PSIQUIATRÍA DEL NIÑO Y DEL ADOLESCENTE,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA PSIQUIATRÍA DEL ADULTO Y GERONTE,0.0
categoricas__ubigeo_150120,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA ONCOLOGÍA MÉDICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEUROVASCULARES Y METABOLICAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEURODEGENERATIVAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA EPILEPSIA/EPILEPTOLOGIA,0.0
categoricas__ubigeo_150136,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUMOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEFROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TRANSPLANTES,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CARDIOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN MEDICINA PSIQUIATRÍA PISIQUIATRIA/ SALUD MENTAL Y ADICCIONES,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA PSIQUIATRÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA OTORRINOLARINGOLOGÍA PEDIÁTRICA,0.0
