anio_prueba,n_test,log_loss,brier_multiclase,confianza_media_maxima,accuracy_argmax,brecha_confianza_accuracy,ece_clase_0,brier_clase_0,clase,bin,limite_inferior,limite_superior,ultimo_bin_incluye_1,n_bin,probabilidad_media,frecuencia_observada,ece_clase,brier_clase,ece_clase_1,brier_clase_1,ece_clase_2,brier_clase_2,ece_macro,alerta_calibracion,observacion,test_sha256,probabilidades_sha256
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,0,0.0,0.1,False,1530,0.03555672518388533,0.034640522875816995,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,1,0.1,0.2,False,557,0.14756271513295988,0.14721723518850988,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,2,0.2,0.3,False,398,0.25064965124106287,0.21608040201005024,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,3,0.3,0.4,False,381,0.3511359305206559,0.30446194225721784,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,4,0.4,0.5,False,464,0.44864663430329027,0.3577586206896552,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,5,0.5,0.6,False,417,0.5485758269719369,0.4412470023980815,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,6,0.6,0.7,False,322,0.6478068882263965,0.5341614906832298,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,7,0.7,0.8,False,173,0.7430196642186601,0.6589595375722543,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,8,0.8,0.9,False,48,0.8427529657880465,0.8541666666666666,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,1,9,0.9,1.0,True,2,0.9205200970172882,1.0,0.0400528350684081,0.14388575533651873,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
