configuracion,anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total
base__alto_1.2,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7422422422422422,0.6604337135528352,0.6867088278151231,0.6604337135528352,0.6603966207735886,0.8625493684469184,0.8718792027556889,0.8404053198226725,0.7617680826636051,0.7991568804576934,1579,252,0.15959468017732742,161,0.1019632678910703,0.04029029029029029
base__alto_1.3,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.742992992992993,0.6579890246987546,0.689577687386827,0.6579890246987546,0.6569273423815067,0.8621569654324329,0.8722816618618608,0.8480050664977834,0.7577815506508206,0.8003586371787209,1579,240,0.1519949335022166,160,0.1013299556681444,0.04004004004004004
base__alto_1.5,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7414914914914915,0.6521781775795991,0.6884737799023514,0.6521781775795991,0.6486794844306173,0.8607918127091874,0.8725078681355706,0.863837872070931,0.7372972972972973,0.7955672207640713,1579,215,0.13616212792906904,145,0.09183027232425586,0.03628628628628629
regularizado__balanceado,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7297297297297297,0.6970592109148362,0.6960266476235805,0.6970592109148362,0.6918905005012986,0.8679469518326052,0.8738591362049438,0.7112096263457884,0.8579067990832697,0.7777008310249308,1579,456,0.2887903736542115,147,0.09309689677010766,0.03678678678678678
regularizado__alto_1.1,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7434934934934935,0.6658112602938563,0.6871532014787757,0.6658112602938563,0.6670421356527786,0.8641273784163866,0.8749643756814444,0.8252058264724509,0.7783751493428913,0.8011066707654472,1579,276,0.17479417352754908,166,0.10512982900569981,0.04154154154154154
regularizado__alto_1.2,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7442442442442443,0.6627222706609195,0.689256777413079,0.6627222706609195,0.6629875103904924,0.8636318208221226,0.8750305693928588,0.8378720709309689,0.7665121668597914,0.8006051437216338,1579,256,0.16212792906903103,160,0.1013299556681444,0.04004004004004004
regularizado__alto_1.3,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7434934934934935,0.6599115716649789,0.6869592364041973,0.6599115716649789,0.6590817508501485,0.8630953414760741,0.875654809090532,0.8511716276124129,0.7580372250423012,0.801909307875895,1579,235,0.1488283723875871,148,0.09373020899303357,0.037037037037037035
regularizado__alto_1.5,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.741991991991992,0.6522005693858062,0.6884599144516793,0.6522005693858062,0.6483180473369341,0.8610272042817128,0.8753819271819961,0.87017099430019,0.7395048439181916,0.799534477742217,1579,205,0.12982900569981,141,0.08929702343255225,0.03528528528528529
profundo__balanceado,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7254754754754755,0.6879475962101225,0.6880581474847741,0.6879475962101225,0.6846081308227864,0.8639355502357372,0.8722574457182244,0.7061431285623813,0.8421450151057401,0.7681708577333793,1579,464,0.29385687143761874,173,0.10956301456618113,0.043293293293293296
profundo__alto_1.1,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7414914914914915,0.6627000973459519,0.6867907191651047,0.6627000973459519,0.6637781795512286,0.862550569751298,0.8722072782677568,0.8226725775807473,0.7695497630331753,0.795224977043159,1579,280,0.1773274224192527,171,0.10829639012032932,0.04279279279279279
profundo__alto_1.2,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.73998998998999,0.6544666939949565,0.6816271909467445,0.6544666939949565,0.65271885376787,0.8609286354805535,0.8720932743773147,0.8397720075997467,0.7590154550658271,0.7973541791942272,1579,253,0.16022799240025332,161,0.1019632678910703,0.04029029029029029
profundo__alto_1.3,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7417417417417418,0.6547888647307482,0.6862766067717999,0.6547888647307482,0.6526192592481505,0.8613982173212246,0.8718348493795559,0.8480050664977834,0.7514029180695847,0.79678667063374,1579,240,0.1519949335022166,158,0.10006333122229259,0.03953953953953954
profundo__alto_1.5,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.737987987987988,0.6466782646004048,0.6855364252887962,0.6466782646004048,0.6417868582291005,0.8584358762999225,0.8722494417519474,0.863204559848005,0.7331898870360409,0.7929028504944735,1579,216,0.13679544015199493,151,0.09563014566181127,0.03778778778778779
Persistencia,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7464964964964965,0.6971804735527457,0.6970185067529041,0.6971804735527457,0.6970795986233412,0.8728452607351559,,0.7903736542115263,0.8010269576379975,0.7956646477526299,1579,331,0.20962634578847372,111,0.07029765674477517,0.027777777777777776
base__balanceado,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7339094837389128,0.7069611005696795,0.7012558016422558,0.7069611005696795,0.7012873671885472,0.87058993174784,0.8769508590881115,0.7488151658767772,0.8281887012230634,0.7865044247787609,1899,477,0.25118483412322273,114,0.06003159557661927,0.02592676825108028
base__alto_1.1,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7539231294064135,0.6891167867590088,0.707454339413942,0.6891167867590088,0.6918200674896987,0.8706115196890091,0.8778327519394958,0.8478146392838336,0.782312925170068,0.8137477887288348,1899,289,0.1521853607161664,136,0.07161664033701948,0.030930179667955426
base__alto_1.2,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7521037070730043,0.6833441348881966,0.7070476024973574,0.6833441348881966,0.6858922724932718,0.8684622968202601,0.878370787335839,0.8536071616640337,0.7697056030389364,0.8094881398252186,1899,278,0.1463928383359663,138,0.07266982622432859,0.03138503525130771
base__alto_1.3,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7523311348646805,0.6813804357072423,0.7091867810189737,0.6813804357072423,0.6842179324224208,0.8678686625059173,0.8780919325664587,0.8667719852553976,0.7634508348794063,0.8118372379778052,1899,253,0.1332280147446024,133,0.07003686150605581,0.030247896292926995
base__alto_1.5,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7498294291562428,0.6707534497047739,0.7077447150414077,0.6707534497047739,0.6714884772669231,0.8648896730122585,0.8772683154980054,0.8836229594523434,0.7487728692547969,0.8106280193236716,1899,221,0.11637704054765666,126,0.06635071090047394,0.028655901751193997
regularizado__balanceado,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7266317944052764,0.704825274029497,0.6993655732294882,0.704825274029497,0.6970350580178656,0.8687468900613898,0.8754219700178946,0.7282780410742496,0.8371670702179177,0.7789355111236271,1899,516,0.2717219589257504,111,0.05845181674565561,0.025244484876051854
regularizado__alto_1.1,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7457357289060723,0.6787089914002732,0.6928197830000485,0.6787089914002732,0.679850699622527,0.8669242246397307,0.8757266432366664,0.8404423380726699,0.7823529411764706,0.8103579588728105,1899,303,0.15955766192733017,141,0.07424960505529225,0.03206731862633614
regularizado__alto_1.2,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7480100068228337,0.677007776785484,0.697313518263239,0.677007776785484,0.6782451921276835,0.8667865951988376,0.8752627585093951,0.855713533438652,0.7738095238095238,0.8127031757939486,1899,274,0.14428646656134808,141,0.07424960505529225,0.03206731862633614
regularizado__alto_1.3,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.743688878780987,0.6681496411887329,0.6920756809916856,0.6681496411887329,0.6683926071839704,0.8634068043984685,0.8751714353105401,0.8636124275934702,0.758206195099399,0.8074839980305268,1899,259,0.13638757240652974,137,0.07214323328067404,0.031157607459631566
regularizado__alto_1.5,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7441437343643393,0.6627262748285291,0.6966230606126098,0.6627262748285291,0.6616104023444375,0.8619031717593856,0.8745899889359371,0.880463401790416,0.7447661469933184,0.806949806949807,1899,227,0.119536598209584,130,0.06845708267509215,0.029565612917898568
profundo__balanceado,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7368660450307027,0.7100452146363306,0.7039670625477509,0.7100452146363306,0.7042245018626535,0.8720746252584656,0.8770332883248838,0.7509215376513955,0.8344060854300761,0.7904656319290465,1899,473,0.24907846234860453,120,0.0631911532385466,0.02729133500113714
profundo__alto_1.1,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7527859904480327,0.6872422244073699,0.7034738560810588,0.6872422244073699,0.6893244765097298,0.870412883890037,0.8773603107344871,0.8467614533965245,0.7855398143624817,0.8150025342118601,1899,291,0.15323854660347552,133,0.07003686150605581,0.030247896292926995
profundo__alto_1.2,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7539231294064135,0.6866004845432839,0.7085914442555316,0.6866004845432839,0.6895662758867811,0.8697815540709436,0.8777262828174827,0.8572933122696156,0.7722960151802657,0.8125779885200899,1899,271,0.14270668773038442,130,0.06845708267509215,0.029565612917898568
profundo__alto_1.3,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.750056856947919,0.6773922498508438,0.704474720132668,0.6773922498508438,0.6793682421649391,0.86664990746202,0.877506363154951,0.8657187993680885,0.7621696801112656,0.8106508875739645,1899,255,0.13428120063191154,134,0.07056345444971038,0.03047532408460314
profundo__alto_1.5,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7518762792813282,0.6749185362016784,0.7101082721113077,0.6749185362016784,0.6764751607801308,0.8663772161879891,0.8777060728469896,0.8809899947340706,0.7539432176656151,0.8125303545410394,1899,226,0.11901000526592943,129,0.0679304897314376,0.029338185126222424
Persistencia,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7302706390720947,0.6824646180665237,0.6823221520975421,0.6824646180665237,0.6823674945811606,0.8642283467385212,,0.7909426013691416,0.7963944856839873,0.793659180977543,1899,397,0.20905739863085834,126,0.06635071090047394,0.028655901751193997
base__balanceado,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7244831338411316,0.7042009303216759,0.6994539282578772,0.7042009303216759,0.6986044427473992,0.866482366617325,0.8742744892845663,0.7634703196347032,0.8614116434827409,0.8094892277898813,2190,518,0.2365296803652968,92,0.04200913242009133,0.02002176278563656
base__alto_1.1,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7349292709466811,0.6722814783139798,0.685360211800717,0.6722814783139798,0.6692947808583615,0.8585599538913131,0.8758466503033427,0.8726027397260274,0.7864197530864198,0.8272727272727274,2190,279,0.1273972602739726,123,0.056164383561643834,0.02676822633297062
base__alto_1.2,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7338411316648531,0.667658585771776,0.6835985660661418,0.667658585771776,0.6636835983260809,0.8567502236995832,0.8757266477638997,0.8799086757990867,0.7779572062979411,0.8257981572744804,2190,263,0.12009132420091324,118,0.053881278538812784,0.025680087051142546
base__alto_1.3,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7321001088139282,0.661261905805354,0.6823316679313723,0.661261905805354,0.6559028139133178,0.8539424448875773,0.8754417566831335,0.8899543378995434,0.7652139772281115,0.8228836816550559,2190,241,0.11004566210045662,113,0.051598173515981734,0.024591947769314473
base__alto_1.5,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7292709466811752,0.6539272804211215,0.6798949595307743,0.6539272804211215,0.647110689275184,0.8507489555608686,0.8753845338388313,0.9,0.7537284894837476,0.8203954214360042,2190,219,0.1,111,0.050684931506849315,0.024156692056583242
regularizado__balanceado,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7240478781284004,0.7087237534854974,0.7037598008708504,0.7087237534854974,0.701444121788525,0.8673580193139228,0.8750796806342094,0.7506849315068493,0.86892177589852,0.8054875061244487,2190,546,0.2493150684931507,94,0.042922374429223746,0.020457018498367792
regularizado__alto_1.1,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7362350380848749,0.6747743708112846,0.6859970642964296,0.6747743708112846,0.6719934652621454,0.860110117596963,0.8756911937586532,0.871689497716895,0.7937629937629938,0.8309031556039173,2190,281,0.12831050228310503,123,0.056164383561643834,0.02676822633297062
regularizado__alto_1.2,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7331882480957562,0.6679038433144511,0.6824714441765526,0.6679038433144511,0.6640683775439782,0.8568712332650671,0.8757861439031803,0.8771689497716895,0.7805770012190166,0.8260589120619222,2190,269,0.1228310502283105,125,0.05707762557077625,0.02720348204570185
regularizado__alto_1.3,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7338411316648531,0.6654636474111929,0.6831487505301087,0.6654636474111929,0.6609524799188892,0.8562504032444803,0.8758831826873017,0.8863013698630137,0.7757793764988009,0.8273657289002557,2190,249,0.1136986301369863,119,0.054337899543379,0.02589771490750816
regularizado__alto_1.5,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7299238302502721,0.6528045899430187,0.67933826876465,0.6528045899430187,0.6443159169744744,0.8511501872696806,0.8758806631961765,0.9045662100456621,0.7563955708285606,0.8238719068413393,2190,209,0.0954337899543379,115,0.05251141552511415,0.025027203482045703
profundo__balanceado,2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.726006528835691,0.7048283408756236,0.699436466068962,0.7048283408756236,0.6992736739853823,0.8670721644079776,0.875408509885225,0.7666666666666667,0.8623523369286081,0.8116992990089438,2190,511,0.23333333333333334,93,0.04246575342465753,0.020239390642002177
