variable,importancia
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA GINECOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA ONCOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION MEDICINA PSIQUIATRIA PISIQUIATRIA/ SALUD MENTAL Y ADICCIONES,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA OTORRINOLARINGOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CARDIOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA PSIQUIATRÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA ONCOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA OTORRINOLARINGOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA OFTALMOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEFROLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUMOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA DERMATOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GASTROENTEROLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA ENDOCRINOLOGÍA PEDIÁTRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA PSIQUIATRÍA - HOSPITALIZACIÓN DE DÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA PSIQUIATRÍA DEL NIÑO Y DEL ADOLESCENTE,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA REHABILITACIÓN PSIQUIÁTRICA / REINSERCIÓN,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA REUMATOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA-NEUROLOGIA -NEUROLOGIA DE LA CONDUCTA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEFROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA ENFERMEDADES INFECCIOSAS/TRANSMISIBLES DEL SISTEMA NERVIOSO,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA EPILEPSIA/EPILEPTOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEUROVASCULARES Y METABOLICAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA UROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA ONCOLOGIA QUIRURGICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA TRAUMATOLOGIA Y ORTOPEDIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA OTORRINOLARINGOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA CARDIOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE DÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION-PEDIATRIA GENERAL-,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA DERMATOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA GERIATRIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA ENDOCRINOLOGIA,0.0
