anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,modelo,tipo,fase,n_features
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7298157834887423,0.7023918164208559,0.6976412845954297,0.7023918164208559,0.696872793412408,0.8690613665076926,0.8786819255795791,0.7519747235387045,0.8311990686845169,0.7896046447332042,1899,471,0.2480252764612954,110,0.057925223802001054,0.02501705708437571,D,modelo,desarrollo,69
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.734136911530589,0.7060953590869623,0.7007432858806872,0.7060953590869623,0.7007426036688104,0.8707599266407614,0.879993374181836,0.7551342812006319,0.8332364904125509,0.7922651933701658,1899,465,0.24486571879936808,113,0.05950500263296472,0.02569934045940414,D+A_CAMAS,modelo,desarrollo,70
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7314077780304753,0.7029920798667962,0.6978588482164425,0.7029920798667962,0.6976874990153942,0.8694834917984514,0.8787276281646257,0.7503949447077409,0.8318739054290718,0.7890365448504983,1899,474,0.24960505529225907,115,0.06055818852027383,0.026154196042756424,D+A_RECURSOS,modelo,desarrollo,73
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7350466226972936,0.7054925089629505,0.7004325767828212,0.7054925089629505,0.7005947154697595,0.8710326137588483,0.8797946171998605,0.7577672459189047,0.8327546296296297,0.7934932451061484,1899,460,0.24223275408109532,110,0.057925223802001054,0.02501705708437571,D+A_RATIOS,modelo,desarrollo,76
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7377757561974073,0.7074041846028356,0.7022835866307339,0.7074041846028356,0.7027580066331313,0.8721381120041619,0.8794183454801514,0.760926803580832,0.8333333333333334,0.7954858243875585,1899,454,0.239073196419168,107,0.05634544497103739,0.024334773709347283,D+A_COMPLETO,modelo,desarrollo,79
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7297062023939064,0.7095198005157051,0.7052373869412175,0.7095198005157051,0.7042343949480165,0.8686527222317869,0.8786453999583514,0.7726027397260274,0.8606307222787386,0.8142444658325313,2190,498,0.2273972602739726,92,0.04200913242009133,0.02002176278563656,D,modelo,desarrollo,69
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7290533188248096,0.7089759108253011,0.7042325895082305,0.7089759108253011,0.703452591180218,0.8685142085291946,0.8793497722654019,0.7707762557077625,0.8625447112927951,0.8140824692548829,2190,502,0.22922374429223744,93,0.04246575342465753,0.020239390642002177,D+A_CAMAS,modelo,desarrollo,70
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7236126224156693,0.7019224710975488,0.6974869877418247,0.7019224710975488,0.6968197070260632,0.8657269870891101,0.8790612371093584,0.7684931506849315,0.8591117917304747,0.8112798264642082,2190,507,0.23150684931506849,97,0.04429223744292238,0.021109902067464634,D+A_RECURSOS,modelo,desarrollo,73
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7257889009793254,0.7037073641867936,0.6995122939770865,0.7037073641867936,0.6988739918249559,0.8665415176546762,0.8800202910355753,0.7730593607305936,0.8580841358337558,0.8133557530626951,2190,497,0.22694063926940639,97,0.04429223744292238,0.021109902067464634,D+A_RATIOS,modelo,desarrollo,76
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7253536452665941,0.7052467797679601,0.7007559843595041,0.7052467797679601,0.6997821166474357,0.8666709326991658,0.8799130622074057,0.7666666666666667,0.8597030209933436,0.81052377504224,2190,511,0.23333333333333334,97,0.04429223744292238,0.021109902067464634,D+A_COMPLETO,modelo,desarrollo,79
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7364307425097699,0.7239155787382439,0.7247138169281161,0.7239155787382439,0.7176027933890513,0.8738180741026055,0.895360548460021,0.7720090293453724,0.8837209302325582,0.8240963855421687,2215,505,0.22799097065462753,59,0.026636568848758466,0.012809379070777248,D,modelo,desarrollo,69
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7366478506296136,0.7261671052389191,0.7284833662476288,0.7261671052389191,0.7192560648446266,0.8743068797302288,0.8953352994879129,0.7683972911963882,0.8859968766267569,0.8230174081237911,2215,513,0.23160270880361175,57,0.025733634311512415,0.012375162831089883,D+A_CAMAS,modelo,desarrollo,70
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.737733391228832,0.7259249340016068,0.7271588644719486,0.7259249340016068,0.719300884134928,0.8748289290590838,0.8952203107320233,0.7720090293453724,0.8878504672897196,0.82588746679546,2215,505,0.22799097065462753,60,0.02708803611738149,0.013026487190620929,D+A_RECURSOS,modelo,desarrollo,73
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7359965262700825,0.7247983913821615,0.7273678551721154,0.7247983913821615,0.7181180701625679,0.8741377905795011,0.8952313963973902,0.7697516930022573,0.8875585632483082,0.8244680851063829,2215,510,0.23024830699774265,58,0.02618510158013544,0.012592270950933565,D+A_RATIOS,modelo,desarrollo,76
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7359965262700825,0.7235400645317621,0.7249412243279533,0.7235400645317621,0.7172504240872243,0.873743664857197,0.8949431241230431,0.7720090293453724,0.8846352819451629,0.824493731918997,2215,505,0.22799097065462753,61,0.027539503386004513,0.013243595310464611,D+A_COMPLETO,modelo,desarrollo,79
2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7612302711452853,0.7519571865953831,0.7493885259139837,0.7519571865953831,0.7447115572783648,0.8851594978580772,0.912323910721382,0.781127129750983,0.8734733756717147,0.8247232472324723,2289,501,0.21887287024901703,70,0.03058103975535168,0.014164305949008499,D,modelo,evaluacion_2025,69
