anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,modelo,tipo,fase,n_features
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7298157834887423,0.7023918164208559,0.6976412845954297,0.7023918164208559,0.696872793412408,0.8690613665076926,0.8786819255795791,0.7519747235387045,0.8311990686845169,0.7896046447332042,1899,471,0.2480252764612954,110,0.057925223802001054,0.02501705708437571,D,modelo,desarrollo,69
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7320900614055037,0.7053584543998782,0.6997428608616896,0.7053584543998782,0.6995440649520234,0.8699110302061266,0.878239703412094,0.7482885729331227,0.8319672131147541,0.7879123925700028,1899,478,0.2517114270668773,116,0.061084781463928386,0.026381623834432568,D+FLUJO,modelo,desarrollo,74
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7298157834887423,0.7046407148663093,0.6992117616446775,0.7046407148663093,0.6982069566133356,0.8694380855413314,0.8786484880205245,0.7440758293838863,0.836094674556213,0.7874059626636947,1899,486,0.2559241706161137,112,0.05897840968931016,0.025471912667727997,D+DEMANDA,modelo,desarrollo,78
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7284512167386855,0.7002037121875674,0.6953310091685969,0.7002037121875674,0.6947566674935389,0.8683210810185239,0.8780171550084418,0.7461822011585044,0.8335294117647059,0.7874409558210613,1899,482,0.2538177988414955,115,0.06055818852027383,0.026154196042756424,D+PERMANENCIA,modelo,desarrollo,82
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7327723447805322,0.7059823954108996,0.700774940873084,0.7059823954108996,0.7001229605746104,0.8706651237641857,0.8781467611988605,0.75144813059505,0.8364595545134819,0.7916782246879335,1899,472,0.24855186940494997,109,0.0573986308583465,0.024789629292699566,D+DINAMICA,modelo,desarrollo,86
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7297062023939064,0.7095198005157051,0.7052373869412175,0.7095198005157051,0.7042343949480165,0.8686527222317869,0.8786453999583514,0.7726027397260274,0.8606307222787386,0.8142444658325313,2190,498,0.2273972602739726,92,0.04200913242009133,0.02002176278563656,D,modelo,desarrollo,69
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7292709466811752,0.70754745032214,0.7029161235074425,0.70754745032214,0.7025490406666836,0.8682246385780247,0.8785059281072952,0.776255707762557,0.8603238866396761,0.8161305808929429,2190,490,0.2237442922374429,99,0.045205479452054796,0.021545157780195865,D+FLUJO,modelo,desarrollo,74
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7290533188248096,0.7073955823261215,0.7025716662208629,0.7073955823261215,0.7023452394094246,0.8680644836713443,0.8783426296793162,0.7753424657534247,0.859746835443038,0.8153661464585835,2190,492,0.22465753424657534,100,0.045662100456621,0.02176278563656148,D+DEMANDA,modelo,desarrollo,78
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7310119695321001,0.7106975606263791,0.7059748743171843,0.7106975606263791,0.7053735603314356,0.8691901389561605,0.8791634065801776,0.7730593607305936,0.8607015760040672,0.8145297089247053,2190,497,0.22694063926940639,94,0.042922374429223746,0.020457018498367792,D+PERMANENCIA,modelo,desarrollo,82
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7264417845484222,0.7049548274519566,0.7003053670964743,0.7049548274519566,0.6998254282821806,0.8669812015255873,0.8783740855958175,0.7712328767123288,0.8595419847328244,0.8129963898916968,2190,501,0.22876712328767124,98,0.04474885844748858,0.02132752992383025,D+DINAMICA,modelo,desarrollo,86
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7364307425097699,0.7239155787382439,0.7247138169281161,0.7239155787382439,0.7176027933890513,0.8738180741026055,0.895360548460021,0.7720090293453724,0.8837209302325582,0.8240963855421687,2215,505,0.22799097065462753,59,0.026636568848758466,0.012809379070777248,D,modelo,desarrollo,69
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7366478506296136,0.7258231909071714,0.725967688463583,0.7258231909071714,0.7188625214457698,0.8741919291649992,0.8954653524440576,0.7656884875846501,0.8856396866840731,0.8213075060532687,2215,519,0.2343115124153499,63,0.028442437923250564,0.013677811550151976,D+FLUJO,modelo,desarrollo,74
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7359965262700825,0.7243054049956142,0.7245145762236208,0.7243054049956142,0.7174140374559052,0.8740752351626667,0.8954684198954638,0.7688487584650113,0.8883672404799166,0.824298160696999,2215,512,0.2311512415349887,65,0.029345372460496615,0.01411202778983934,D+DEMANDA,modelo,desarrollo,78
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7364307425097699,0.7251338035054605,0.7257509255119361,0.7251338035054605,0.7182264303092696,0.8743546827524208,0.8951490954233691,0.7679458239277652,0.8887147335423198,0.823928311939937,2215,514,0.23205417607223477,61,0.027539503386004513,0.013243595310464611,D+PERMANENCIA,modelo,desarrollo,82
2024,34436,4606,83cd35a1966faa825a6fb63e282b2e8be4075103e5367ba2002c818b9868d845,0.7370820668693009,0.7265283073945122,0.72706367062074,0.7265283073945122,0.7192907104385692,0.8747428885408125,0.8949829583705952,0.7670428893905192,0.8895287958115183,0.8237575757575758,2215,516,0.23295711060948082,63,0.028442437923250564,0.013677811550151976,D+DINAMICA,modelo,desarrollo,86
2025,39042,4942,a5f96ba2627c8a10afab8a8ee390db431a8e9d135db0850e95b30dd3991c66ef,0.7612302711452853,0.7519571865953831,0.7493885259139837,0.7519571865953831,0.7447115572783648,0.8851594978580772,0.912323910721382,0.781127129750983,0.8734733756717147,0.8247232472324723,2289,501,0.21887287024901703,70,0.03058103975535168,0.014164305949008499,D,modelo,comprobacion_2025,69
